frame,time_s,n_blobs,peak_score
0,0.0,45,25.0
6,0.1,44,24.9
12,0.2,51,26.3
18,0.3,47,26.1
24,0.4,43,25.5
30,0.5,40,24.9
36,0.6,41,25.9
42,0.7,36,25.4
48,0.8,36,28.8
54,0.9,38,29.2
60,1.0,37,27.4
66,1.1,36,27.4
72,1.2,41,28.0
78,1.3,42,28.8
84,1.4,31,32.1
90,1.5,32,29.3
96,1.6,22,25.6
102,1.7,13,25.6
108,1.8,14,25.3
114,1.9,20,24.2
120,2.0,15,27.9
126,2.1,20,29.1
132,2.2,16,30.2
138,2.3,17,28.3
144,2.4,20,26.9
150,2.5,21,28.7
156,2.6,20,28.7
162,2.7,28,27.9
168,2.8,25,29.9
174,2.9,19,27.4
180,3.0,26,31.8
186,3.1,22,32.4
192,3.2,14,30.1
198,3.3,11,27.7
204,3.4,7,31.8
210,3.5,4,26.8
216,3.6,5,26.2
222,3.7,7,24.0
228,3.8,3,21.6
246,4.1,1,22.2
252,4.2,2,19.8
258,4.3,5,24.0
264,4.4,7,26.6
270,4.5,8,29.0
276,4.6,21,24.6
282,4.7,15,28.4
288,4.8,18,37.8
294,4.9,24,33.1
300,5.0,15,30.6
306,5.1,21,23.5
312,5.2,17,24.3
318,5.3,24,26.2
324,5.4,15,23.3
330,5.5,23,26.5
336,5.6,37,24.1
342,5.7,21,23.8
348,5.8,20,23.3
354,5.9,19,26.0
360,6.0,16,23.3
366,6.1,19,24.0
372,6.2,11,24.3
378,6.3,11,23.7
384,6.4,19,35.3
390,6.5,16,37.6
396,6.6,27,30.8
402,6.7,21,29.0
408,6.8,45,27.1
414,6.9,38,29.7
420,7.0,42,26.9
426,7.1,38,28.6
432,7.2,44,27.0
438,7.3,49,29.1
444,7.4,55,27.7
450,7.5,61,30.7
456,7.6,50,29.7
462,7.7,54,27.5
468,7.8,44,29.5
474,7.9,51,42.4
480,8.0,47,47.5
486,8.1,40,29.8
492,8.2,38,28.7
498,8.3,31,28.0
504,8.4,34,28.1
510,8.5,32,26.8
516,8.6,20,30.3
522,8.7,22,27.9
528,8.8,30,29.7
534,8.9,25,29.9
540,9.0,22,31.7
546,9.1,27,31.9
552,9.2,25,26.9
558,9.3,23,30.6
564,9.4,27,28.4
570,9.5,33,27.5
576,9.6,22,27.6
582,9.7,31,32.6
588,9.8,24,31.0
594,9.9,43,32.2
600,10.0,61,31.9
606,10.1,50,32.4
612,10.2,46,32.0
618,10.3,42,30.6
624,10.4,39,30.1
630,10.5,57,30.0
636,10.6,70,34.6
642,10.7,65,36.1
648,10.8,78,33.1
654,10.9,62,28.2
660,11.0,70,39.5
666,11.1,52,31.6
672,11.2,72,32.1
678,11.3,52,31.8
684,11.4,38,33.5
690,11.5,49,28.2
696,11.6,48,36.7
702,11.7,52,37.4
708,11.8,45,33.1
714,11.9,31,35.5
720,12.0,37,36.2
726,12.1,51,29.5
732,12.2,45,33.1
738,12.3,61,28.9
744,12.4,64,30.9
750,12.5,69,29.2
756,12.6,63,30.8
762,12.7,50,31.7
768,12.8,40,28.5
774,12.9,44,29.9
780,13.0,59,30.0
786,13.1,43,25.9
792,13.2,30,23.2
798,13.3,31,25.3
804,13.4,21,25.8
810,13.5,5,23.4
816,13.6,19,25.8
822,13.7,33,25.7
828,13.8,22,24.1
834,13.9,11,27.5
840,14.0,26,24.4
846,14.1,15,25.3
852,14.2,22,27.7
858,14.3,25,26.5
864,14.4,22,24.7
870,14.5,33,25.1
876,14.6,39,26.4
882,14.7,37,26.2
888,14.8,48,26.1
894,14.9,39,24.9
900,15.0,36,26.0
906,15.1,28,29.6
912,15.2,38,28.1
918,15.3,41,24.5
924,15.4,32,25.8
930,15.5,30,28.0
936,15.6,19,24.1
942,15.7,15,22.3
948,15.8,11,23.1
954,15.9,21,23.2
960,16.0,20,28.9
966,16.1,18,23.3
972,16.21,13,24.6
978,16.31,12,21.8
984,16.41,9,21.6
990,16.51,18,22.0
996,16.61,18,21.7
1002,16.71,22,22.7
1008,16.81,7,22.8
1014,16.91,11,22.6
1020,17.01,7,22.5
1026,17.11,18,24.0
1032,17.21,8,22.6
1038,17.31,1,20.5
1044,17.41,2,20.6
1050,17.51,8,23.3
1056,17.61,10,21.8
1062,17.71,12,22.9
1068,17.81,9,22.4
1074,17.91,9,24.3
1080,18.01,4,20.9
1086,18.11,2,21.6
1092,18.21,4,23.7
1098,18.31,5,23.8
1104,18.41,8,22.7
1110,18.51,6,21.5
1116,18.61,4,21.7
1122,18.71,6,24.1
1128,18.81,2,20.7
1134,18.91,5,23.7
1140,19.01,6,29.9
1146,19.11,10,27.5
1152,19.21,6,26.7
1158,19.31,8,23.6
1164,19.41,8,22.6
1170,19.51,7,24.6
1176,19.61,12,26.4
1182,19.71,15,24.9
1188,19.81,25,24.8
1194,19.91,18,24.6
1200,20.01,22,24.9
1206,20.11,22,24.2
1212,20.21,24,24.4
1218,20.31,23,21.9
1224,20.41,27,26.7
1230,20.51,21,23.8
1236,20.61,29,22.9
1242,20.71,29,25.3
1248,20.81,30,25.0
1254,20.91,7,22.8
1260,21.01,8,23.8
1266,21.11,8,23.8
1272,21.21,13,24.2
1278,21.31,8,23.7
1284,21.41,4,22.4
1290,21.51,3,23.3
1296,21.61,1,20.1
1308,21.81,3,19.8
1314,21.91,12,29.1
1320,22.01,8,26.4
1326,22.11,5,27.2
1332,22.21,6,24.0
1338,22.31,14,31.7
1344,22.41,33,34.6
1350,22.51,31,34.2
1356,22.61,40,31.7
1362,22.71,50,53.2
1368,22.81,33,37.8
1374,22.91,42,35.4
1380,23.01,33,31.1
1386,23.11,36,28.5
1392,23.21,41,27.0
1398,23.31,47,25.0
1404,23.41,37,22.9
1410,23.51,43,24.7
1416,23.61,46,24.7
1422,23.71,47,22.7
1428,23.81,54,23.9
1434,23.91,61,24.7
1440,24.01,62,26.1
1446,24.11,69,26.6
1452,24.21,64,27.5
1458,24.31,62,26.0
1464,24.41,44,27.7
1470,24.51,31,24.5
1476,24.61,42,25.1
1482,24.71,24,26.5
1488,24.81,30,24.2
1494,24.91,25,25.5
1500,25.01,15,35.6
1506,25.11,15,31.5
1512,25.21,15,31.6
1518,25.31,24,29.3
1524,25.41,18,24.9
1530,25.51,24,24.4
1536,25.61,42,26.2
1542,25.71,44,29.0
1548,25.81,56,28.0
1554,25.91,50,29.4
1560,26.01,42,27.8
1566,26.11,45,27.3
1572,26.21,29,27.7
1578,26.31,18,24.0
1584,26.41,12,26.8
1590,26.51,9,22.0
1596,26.61,7,24.3
1602,26.71,13,24.7
1608,26.81,11,23.5
1614,26.91,16,23.4
1620,27.01,15,22.7
1626,27.11,14,22.6
1632,27.21,16,23.5
1638,27.31,7,24.5
1644,27.41,10,22.6
1650,27.51,11,23.1
1656,27.61,8,24.1
1662,27.71,9,23.0
1668,27.81,4,23.2
1674,27.91,4,22.6
1680,28.01,4,21.3
1686,28.11,1,20.5
1692,28.21,1,23.0
1698,28.31,3,19.1
1704,28.41,3,20.8
1710,28.51,2,20.1
1716,28.61,2,21.0
1722,28.71,3,20.3
1728,28.81,1,20.9
1734,28.91,2,20.7
1740,29.01,5,22.1
1746,29.11,3,21.8
1758,29.31,2,20.4
1764,29.41,1,25.1
1800,30.01,2,20.0
1806,30.11,3,21.7
1812,30.21,5,20.1
1818,30.31,4,21.8
1824,30.41,3,24.7
1836,30.61,1,19.9
1842,30.71,2,21.2
1908,31.81,1,20.6
1914,31.91,1,19.3
1986,33.11,2,21.0
1992,33.21,3,21.4
1998,33.31,4,25.2
2004,33.41,4,21.1
2016,33.61,2,20.9
2022,33.71,3,23.4
2028,33.81,3,21.0
2034,33.91,2,23.4
2040,34.01,3,23.2
2046,34.11,1,20.8
