frame,time_s,n_blobs,peak_score
0,0.0,22,25.0
6,0.1,23,23.1
12,0.2,25,24.4
18,0.3,22,29.0
24,0.4,24,23.4
30,0.5,25,28.8
36,0.6,23,28.6
42,0.7,31,25.8
48,0.8,27,29.4
54,0.9,26,25.1
60,1.0,35,28.0
66,1.1,33,27.4
72,1.2,24,24.9
78,1.3,25,28.8
84,1.4,31,25.5
90,1.5,19,23.4
96,1.6,19,26.4
102,1.7,22,23.2
108,1.8,20,31.2
114,1.9,15,25.4
120,2.0,21,28.2
126,2.1,24,29.3
132,2.2,28,31.3
138,2.3,34,30.3
144,2.4,39,32.9
150,2.5,41,30.6
156,2.6,48,31.9
162,2.7,45,28.4
168,2.8,38,26.4
174,2.9,25,24.4
180,3.0,30,28.1
186,3.1,35,27.2
192,3.2,26,28.8
198,3.3,31,26.1
204,3.4,35,27.3
210,3.5,40,28.0
216,3.6,40,30.8
222,3.7,40,26.9
228,3.8,38,32.0
234,3.9,40,28.7
240,4.0,48,29.6
246,4.1,41,31.8
252,4.2,46,32.9
258,4.3,37,33.6
264,4.4,47,27.0
270,4.5,37,32.0
276,4.6,35,26.9
282,4.7,32,33.9
288,4.8,40,33.4
294,4.9,31,27.8
300,5.0,33,25.3
306,5.1,27,25.3
312,5.2,29,27.5
318,5.3,31,28.7
324,5.4,43,27.0
330,5.5,40,28.3
336,5.6,39,28.9
342,5.7,41,26.5
348,5.8,44,27.9
354,5.9,37,26.4
360,6.0,35,26.0
366,6.1,31,28.2
372,6.2,36,28.5
378,6.3,46,25.5
384,6.4,49,27.1
390,6.5,68,26.7
396,6.6,66,25.7
402,6.7,87,26.1
408,6.8,80,27.1
414,6.9,75,28.0
420,7.0,40,30.6
426,7.1,48,27.5
432,7.2,52,28.3
438,7.3,42,29.3
444,7.4,48,30.3
450,7.5,20,29.8
456,7.6,34,25.6
462,7.7,38,29.1
468,7.8,40,26.6
474,7.9,32,30.1
480,8.0,26,29.6
486,8.1,25,23.8
492,8.2,23,31.4
498,8.3,19,23.4
504,8.4,10,24.6
510,8.5,15,24.4
516,8.6,16,28.5
522,8.7,10,24.7
528,8.8,11,23.6
534,8.9,3,25.7
540,9.0,7,23.3
552,9.2,3,22.5
558,9.3,3,21.0
564,9.4,2,23.3
570,9.5,3,20.3
582,9.7,2,24.9
588,9.8,1,20.4
600,10.0,2,20.1
606,10.1,5,23.1
612,10.2,2,21.9
618,10.3,3,24.1
624,10.4,3,20.4
630,10.5,1,19.4
636,10.6,1,20.0
642,10.7,2,21.6
648,10.8,3,20.6
654,10.9,9,22.9
660,11.0,2,20.9
666,11.1,1,22.4
672,11.2,1,19.3
678,11.3,4,21.6
684,11.4,7,23.3
690,11.5,1,17.9
702,11.7,2,32.6
708,11.8,1,19.6
714,11.9,3,23.0
720,12.0,3,21.5
726,12.1,1,21.7
732,12.2,3,22.4
738,12.3,11,23.8
744,12.4,4,23.1
750,12.5,7,27.3
756,12.6,1,21.7
762,12.7,2,22.3
768,12.8,2,22.7
774,12.9,14,24.0
780,13.0,3,24.6
786,13.1,8,22.6
792,13.2,3,24.1
798,13.3,5,25.7
804,13.4,8,25.2
810,13.5,4,22.6
816,13.6,4,21.8
822,13.7,4,20.4
828,13.8,6,22.3
834,13.9,4,21.5
840,14.0,6,22.6
846,14.1,8,23.9
852,14.2,4,27.3
858,14.3,5,27.5
864,14.4,4,28.9
870,14.5,3,24.6
876,14.6,12,22.1
882,14.7,8,23.0
888,14.8,2,20.8
894,14.9,2,20.2
900,15.0,7,22.3
