video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
Upper40_TON_12.03.25_LS.mp4,0,0,756,0.0,12.6,12.6,93,12,30.8,0,0,640,512
Upper40_TON_12.03.25_LS.mp4,1,912,1896,15.2,31.6,16.4,87,1830,32.7,0,0,640,512
Upper40_TON_12.03.25_LS.mp4,2,1986,1992,33.1,33.2,0.1,2,1986,20.4,111,481,639,504
Upper40_TON_12.03.25_LS.mp4,3,2076,2082,34.6,34.7,0.1,2,2082,20.7,549,428,616,434
Upper40_TON_12.03.25_LS.mp4,4,2208,2454,36.8,40.9,4.1,13,2442,34.8,27,92,601,431
Upper40_TON_12.03.25_LS.mp4,5,2526,2556,42.1,42.6,0.5,2,2526,23.0,562,244,595,455
Upper40_TON_12.03.25_LS.mp4,6,2664,2670,44.4,44.5,0.1,2,2664,24.1,97,280,222,286
Upper40_TON_12.03.25_LS.mp4,7,2760,2766,46.0,46.1,0.1,2,2760,31.7,519,46,602,454
Upper40_TON_12.03.25_LS.mp4,8,3024,3042,50.4,50.7,0.3,4,3042,36.9,48,464,531,483
Upper40_TON_12.03.25_LS.mp4,9,3372,3402,56.2,56.7,0.5,5,3378,23.8,542,0,615,66
Upper40_TON_12.03.25_LS.mp4,10,3636,3642,60.6,60.7,0.1,2,3642,23.2,55,9,68,431
Upper40_TON_12.03.25_LS.mp4,11,3840,4074,64.0,67.9,3.9,17,4074,25.7,5,0,594,496
Upper40_TON_12.03.25_LS.mp4,12,4308,4422,71.8,73.7,1.9,8,4374,21.9,113,0,587,191
Upper40_TON_12.03.25_LS.mp4,13,4572,4620,76.2,77.0,0.8,2,4572,20.1,461,0,614,20
Upper40_TON_12.03.25_LS.mp4,14,4710,4896,78.5,81.6,3.1,19,4734,35.6,8,0,632,494
Upper40_TON_12.03.25_LS.mp4,15,5022,5070,83.7,84.5,0.8,4,5022,21.6,0,278,580,504
Upper40_TON_12.03.25_LS.mp4,16,5370,5406,89.5,90.1,0.6,5,5382,23.1,40,0,441,463
Upper40_TON_12.03.25_LS.mp4,17,5472,5832,91.2,97.2,6.0,35,5658,27.8,0,0,640,343
Upper40_TON_12.03.25_LS.mp4,18,5934,5946,98.9,99.1,0.2,3,5940,25.7,72,268,597,452
Upper40_TON_12.03.25_LS.mp4,19,6036,6804,100.6,113.4,12.8,91,6666,32.0,0,0,640,512
