frame,time_s,n_blobs,peak_score
0,0.0,56,29.8
6,0.1,53,30.8
12,0.2,55,30.8
18,0.3,52,27.1
24,0.4,46,28.7
30,0.5,43,26.9
36,0.6,37,28.3
42,0.7,26,24.7
48,0.8,31,25.8
54,0.9,37,29.3
60,1.0,37,27.7
66,1.1,37,27.7
72,1.2,20,24.0
78,1.3,11,26.0
84,1.4,8,22.4
90,1.5,6,23.5
96,1.6,2,20.2
102,1.7,2,21.2
108,1.8,1,20.5
114,1.9,3,21.6
120,2.0,8,21.6
126,2.1,7,22.0
132,2.2,9,21.4
138,2.3,14,22.3
144,2.4,13,24.2
150,2.5,12,23.5
156,2.6,13,24.3
162,2.7,11,23.3
168,2.8,22,23.8
174,2.9,18,22.9
180,3.0,18,22.6
186,3.1,20,23.1
192,3.2,13,23.2
198,3.3,10,22.5
204,3.4,8,21.3
210,3.5,8,21.4
216,3.6,12,22.1
222,3.7,5,21.7
228,3.8,3,20.4
234,3.9,16,23.4
240,4.0,10,22.0
246,4.1,17,22.1
252,4.2,14,22.7
258,4.3,10,22.4
264,4.4,13,22.6
270,4.5,6,20.9
276,4.6,9,21.6
282,4.7,5,22.4
288,4.8,5,21.9
300,5.0,4,21.2
306,5.1,3,20.8
312,5.2,6,22.0
318,5.3,6,22.6
324,5.4,5,23.0
330,5.5,4,22.6
336,5.6,4,21.7
342,5.7,7,22.8
348,5.8,8,23.3
354,5.9,7,22.2
360,6.0,5,21.1
366,6.1,2,20.7
378,6.3,4,21.1
390,6.5,3,22.3
396,6.6,3,20.8
402,6.7,1,20.7
408,6.8,3,20.8
414,6.9,4,21.3
420,7.0,6,21.4
426,7.1,1,20.3
438,7.3,1,19.1
444,7.4,1,20.2
450,7.5,1,23.1
462,7.7,1,19.4
504,8.4,1,19.6
516,8.6,1,19.5
522,8.7,1,20.3
528,8.8,2,21.7
534,8.9,3,21.2
552,9.2,1,20.5
558,9.3,1,21.1
564,9.4,1,20.8
600,10.0,1,19.7
612,10.2,1,19.7
624,10.4,2,19.8
630,10.5,1,18.5
654,10.9,1,19.7
666,11.1,1,19.3
690,11.5,1,19.8
708,11.8,1,20.0
714,11.9,1,19.7
720,12.0,1,21.0
726,12.1,1,19.7
756,12.6,2,19.9
912,15.2,1,20.8
924,15.4,1,20.5
936,15.6,1,21.1
942,15.7,1,21.3
960,16.0,1,19.5
978,16.3,1,21.7
990,16.5,1,19.2
1008,16.8,3,21.2
1014,16.9,1,19.3
1026,17.1,1,19.2
1038,17.3,1,19.9
1056,17.6,1,20.3
1062,17.7,2,19.5
1068,17.8,1,18.9
1074,17.9,2,19.9
1080,18.0,2,19.6
1086,18.1,1,20.3
1092,18.2,1,21.0
1122,18.7,2,27.1
1128,18.8,3,20.5
1134,18.9,3,26.5
1140,19.0,1,20.7
1146,19.1,1,19.8
1152,19.2,1,22.1
1158,19.3,1,24.3
1164,19.4,1,19.6
1182,19.7,1,19.7
1206,20.1,3,20.5
1212,20.2,6,22.6
1218,20.3,3,20.1
1224,20.4,3,21.7
1230,20.5,4,20.2
1236,20.6,1,20.1
1266,21.1,1,21.5
1320,22.0,1,21.2
1326,22.1,2,20.9
1332,22.2,1,19.9
1338,22.3,3,21.1
1344,22.4,3,22.0
1350,22.5,9,22.2
1356,22.6,7,22.4
1362,22.7,12,23.4
1368,22.8,8,21.5
1374,22.9,9,21.8
1380,23.0,23,22.5
1386,23.1,11,24.4
1392,23.2,17,21.8
1398,23.3,21,21.9
1404,23.4,9,22.8
1410,23.5,9,23.1
1416,23.6,8,22.8
1422,23.7,7,22.4
1428,23.8,9,20.9
1434,23.9,8,21.5
1440,24.0,11,22.3
1446,24.1,12,26.0
1452,24.2,8,21.8
1458,24.3,12,22.8
1464,24.4,13,22.3
1470,24.5,6,21.7
1476,24.6,2,21.8
1494,24.9,1,19.5
1500,25.0,1,20.8
1506,25.1,2,20.2
1542,25.7,1,20.0
1566,26.1,1,20.6
1572,26.2,2,19.6
1590,26.5,1,19.9
1596,26.6,1,20.5
1602,26.7,1,20.0
1626,27.1,1,19.1
1668,27.8,1,20.6
1710,28.5,1,19.7
1746,29.1,1,19.1
1764,29.4,1,21.6
1806,30.1,4,20.7
1812,30.2,3,20.3
1818,30.3,1,20.3
1824,30.4,1,25.6
1830,30.5,1,32.7
1848,30.8,8,21.4
1854,30.9,4,20.6
1860,31.0,1,21.4
1872,31.2,3,23.5
1878,31.3,3,22.9
1884,31.4,4,20.8
1896,31.6,1,20.8
1986,33.1,2,20.4
1992,33.2,1,20.1
2076,34.6,1,20.2
2082,34.7,1,20.7
2208,36.8,1,19.3
2226,37.1,1,20.9
2280,38.0,1,22.0
2298,38.3,1,23.9
2352,39.2,1,19.8
2358,39.3,1,21.2
2418,40.3,1,27.1
2424,40.4,1,26.8
2430,40.5,1,29.2
2436,40.6,1,33.1
2442,40.7,1,34.8
2448,40.8,1,24.8
2454,40.9,1,28.2
2526,42.1,1,23.0
2556,42.6,1,20.0
2664,44.4,1,24.1
2670,44.5,1,21.4
2760,46.0,2,31.7
2766,46.1,2,26.8
2850,47.5,1,20.0
3024,50.4,1,32.4
3030,50.5,1,32.3
3036,50.6,2,33.5
3042,50.7,1,36.9
3372,56.2,1,22.3
3378,56.3,2,23.8
3390,56.5,2,22.0
3396,56.6,3,20.7
3402,56.7,1,20.4
