video,key,site,transect,visit,date,side,n_events,event_seconds
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v1_LS,MAS,EMarseilles,1,12.22.25,LS,16,274.2
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v1_LS,MAS,N2379Rd,1,12.22.25,LS,17,306.0
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,15,229.1
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v1_LS,MAS,N25thRdOrange,1,12.22.25,LS,9,92.3
NMarseillesRd_MAS_12.22.25_LS.mp4,MAS__NMarseillesRd_v1_LS,MAS,NMarseillesRd,1,12.22.25,LS,5,258.0
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v1_LS,MAS,WMarseilles,1,12.22.25,LS,45,399.6
EMarseilles_MAS_12.22.25_LS.mp4,MAS__EMarseilles_v2_LS,MAS,EMarseilles,2,12.22.25,LS,15,170.4
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v2_LS,MAS,N2379Rd,2,12.22.25,LS,27,266.7
N25thBlue_MAS_12.22.25_LS.mp4,MAS__N25thBlue_v2_LS,MAS,N25thBlue,2,12.22.25,LS,24,362.0
N25thRdOrange_MAS_12.22.25_LS.mp4,MAS__N25thRdOrange_v2_LS,MAS,N25thRdOrange,2,12.22.25,LS,1,131.9
NMarseilles_MAS_12.22.25_LS.mp4,MAS__NMarseilles_v2_LS,MAS,NMarseilles,2,12.22.25,LS,1,150.1
WMarseilles_MAS_12.22.25_LS.mp4,MAS__WMarseilles_v2_LS,MAS,WMarseilles,2,12.22.25,LS,40,475.6
EagleCreekDrEtc_SHB_12.11.2025_LS.mp4,SHB__EagleCreekDrEtc_v1_LS,SHB,EagleCreekDrEtc,1,12.11.2025,LS,25,315.3
GolfDr_SHB_12.11.2025.mp4,SHB__GolfDr_v1_LS,SHB,GolfDr,1,12.11.2025,LS,12,157.2
