video,site,track_id,count,touches_n_deer,n_frames,span_s,mean_conf,topk_conf,mean_box_px
AquaCultureRd_TON_12.03.25_LS,TON,93,0,0,1,0.02,0.5374,0.5374,439.4
AquaCultureRd_TON_12.03.25_LS,TON,163,0,0,1,0.02,0.4811,0.4811,722.0
AquaCultureRd_TON_12.03.25_LS,TON,172,0,0,7,0.2,0.4252,0.4578,489.9
AquaCultureRd_TON_12.03.25_LS,TON,187,0,0,1,0.02,0.3625,0.3625,413.6
AquaCultureRd_TON_12.03.25_LS,TON,192,0,0,1,0.02,0.4305,0.4305,434.9
AquaCultureRd_TON_12.03.25_LS,TON,263,0,0,1,0.02,0.6669,0.6669,3036.9
AquaCultureRd_TON_12.03.25_LS,TON,305,0,0,1,0.02,0.4839,0.4839,659.5
AquaCultureRd_TON_12.03.25_LS,TON,348,0,0,1,0.02,0.5166,0.5166,1782.1
AquaCultureRd_TON_12.03.25_LS,TON,396,0,0,1,0.02,0.4974,0.4974,697.2
AquaCultureRd_TON_12.03.25_LS,TON,401,0,0,10,0.17,0.5453,0.5983,848.8
AquaCultureRd_TON_12.03.25_LS,TON,461,0,0,1,0.02,0.5402,0.5402,679.3
AquaCultureRd_TON_12.03.25_LS,TON,597,0,0,6,0.23,0.3758,0.3952,2978.8
AquaCultureRd_TON_12.03.25_LS,TON,997,0,0,1,0.02,0.392,0.392,680.8
AquaCultureRd_TON_12.03.25_LS,TON,1004,0,0,2,0.03,0.3692,0.3692,1085.0
AquaCultureRd_TON_12.03.25_LS,TON,2004,0,0,4,0.05,0.0401,0.0401,357.5
AquaCultureRd_TON_12.03.25_LS,TON,2005,0,0,1,0.02,0.0375,0.0375,242.3
AquaCultureRd_TON_12.03.25_LS,TON,2006,0,0,5,0.12,0.0312,0.0312,373.4
AquaCultureRd_TON_12.03.25_LS,TON,2007,0,0,4,0.13,0.0419,0.0419,480.2
AquaCultureRd_TON_12.03.25_LS,TON,2008,0,0,1,0.02,0.0289,0.0289,1962.4
AquaCultureRd_TON_12.03.25_LS,TON,2009,0,0,1,0.02,0.0423,0.0423,398.0
AquaCultureRd_TON_12.03.25_LS,TON,2010,0,0,1,0.02,0.0321,0.0321,632.3
AquaCultureRd_TON_12.03.25_LS,TON,2011,0,0,7,0.07,0.0381,0.0446,268.9
AquaCultureRd_TON_12.03.25_LS,TON,2012,0,0,2,0.02,0.0304,0.0304,859.6
AquaCultureRd_TON_12.03.25_LS,TON,2013,0,0,1,0.02,0.0242,0.0242,703.3
AquaCultureRd_TON_12.03.25_LS,TON,2014,0,0,20,1.18,0.0644,0.1457,717.5
AquaCultureRd_TON_12.03.25_LS,TON,2015,0,0,1,0.02,0.0521,0.0521,632.1
AquaCultureRd_TON_12.03.25_LS,TON,2016,0,0,2,0.05,0.065,0.065,690.6
AquaCultureRd_TON_12.03.25_LS,TON,2017,0,0,2,0.03,0.0384,0.0384,218.3
AquaCultureRd_TON_12.03.25_LS,TON,2018,0,0,1,0.02,0.0294,0.0294,819.7
AquaCultureRd_TON_12.03.25_LS,TON,2019,0,0,1,0.02,0.0434,0.0434,1813.9
AquaCultureRd_TON_12.03.25_LS,TON,2020,0,0,1,0.02,0.0673,0.0673,972.2
AquaCultureRd_TON_12.03.25_LS,TON,2021,0,0,1,0.02,0.0204,0.0204,1372.3
AquaCultureRd_TON_12.03.25_LS,TON,2022,0,0,1,0.02,0.0202,0.0202,1151.3
AquaCultureRd_TON_12.03.25_LS,TON,2023,0,0,2,0.1,0.0415,0.0415,1952.3
AquaCultureRd_TON_12.03.25_LS,TON,2024,0,0,1,0.02,0.0282,0.0282,1101.2
AquaCultureRd_TON_12.03.25_LS,TON,2025,0,0,1,0.02,0.028,0.028,589.4
AquaCultureRd_TON_12.03.25_LS,TON,2026,0,0,1,0.02,0.0249,0.0249,1163.3
AquaCultureRd_TON_12.03.25_LS,TON,2027,0,0,4,0.07,0.0835,0.0835,1562.2
AquaCultureRd_TON_12.03.25_LS,TON,2028,0,0,1,0.02,0.026,0.026,1044.1
AquaCultureRd_TON_12.03.25_LS,TON,2029,0,0,1,0.02,0.0259,0.0259,1817.5
AquaCultureRd_TON_12.03.25_LS,TON,2030,0,0,3,0.52,0.041,0.041,1328.5
AquaCultureRd_TON_12.03.25_LS,TON,2031,0,0,15,0.98,0.0781,0.1664,898.0
AquaCultureRd_TON_12.03.25_LS,TON,2032,0,0,1,0.02,0.0726,0.0726,489.6
AquaCultureRd_TON_12.03.25_LS,TON,2033,0,0,23,0.92,0.0513,0.0965,1505.6
AquaCultureRd_TON_12.03.25_LS,TON,2034,0,0,1,0.02,0.0203,0.0203,438.8
AquaCultureRd_TON_12.03.25_LS,TON,2035,0,0,2,0.03,0.0358,0.0358,613.3
AquaCultureRd_TON_12.03.25_LS,TON,2036,0,0,6,0.18,0.1671,0.1936,853.8
AquaCultureRd_TON_12.03.25_LS,TON,2037,0,0,6,0.1,0.1159,0.1331,780.0
AquaCultureRd_TON_12.03.25_LS,TON,2038,0,0,8,0.65,0.1381,0.1942,1592.3
AquaCultureRd_TON_12.03.25_LS,TON,2039,0,0,4,0.65,0.0725,0.0725,951.3
AquaCultureRd_TON_12.03.25_LS,TON,2040,0,0,4,0.07,0.029,0.029,407.1
AquaCultureRd_TON_12.03.25_LS,TON,2041,0,0,1,0.02,0.0256,0.0256,789.2
AquaCultureRd_TON_12.03.25_LS,TON,2042,0,0,1,0.02,0.0524,0.0524,436.7
AquaCultureRd_TON_12.03.25_LS,TON,2043,0,0,9,0.33,0.0632,0.0954,1410.8
AquaCultureRd_TON_12.03.25_LS,TON,2044,0,0,9,0.67,0.1059,0.1733,1358.5
AquaCultureRd_TON_12.03.25_LS,TON,2045,0,0,1,0.02,0.0398,0.0398,942.8
AquaCultureRd_TON_12.03.25_LS,TON,2046,0,0,5,0.22,0.045,0.045,440.8
AquaCultureRd_TON_12.03.25_LS,TON,2047,0,0,2,0.03,0.0219,0.0219,412.0
AquaCultureRd_TON_12.03.25_LS,TON,2048,0,0,54,1.33,0.0354,0.1054,451.0
AquaCultureRd_TON_12.03.25_LS,TON,2049,0,0,9,0.63,0.0336,0.04,481.0
AquaCultureRd_TON_12.03.25_LS,TON,2050,0,0,1,0.02,0.0286,0.0286,338.5
AquaCultureRd_TON_12.03.25_LS,TON,2051,0,0,28,0.3,0.0307,0.0449,320.2
AquaCultureRd_TON_12.03.25_LS,TON,2052,0,0,4,0.07,0.0248,0.0248,395.7
AquaCultureRd_TON_12.03.25_LS,TON,2053,0,0,7,0.03,0.0291,0.0321,321.6
AquaCultureRd_TON_12.03.25_LS,TON,2054,0,0,2,0.02,0.0301,0.0301,339.5
AquaCultureRd_TON_12.03.25_LS,TON,2055,0,0,8,0.23,0.0396,0.05,336.2
AquaCultureRd_TON_12.03.25_LS,TON,2056,0,0,2,0.02,0.0271,0.0271,371.4
AquaCultureRd_TON_12.03.25_LS,TON,2057,0,0,1,0.02,0.0296,0.0296,1520.1
