video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,24,0,false,17,0.43,0.3449,0.4598,430.7,2979,3004,0
AquaCultureRd_TON_12.03.25_LS,TON,53,0,false,10,0.17,0.5453,0.5983,848.8,6679,6688,0
AquaCultureRd_TON_12.03.25_LS,TON,62,0,false,16,0.28,0.2528,0.3952,2951.6,9631,9647,0
ChipsRd_TON_12.03.25_LS,TON,2,0,false,3,0.05,0.3367,0.3367,1351.8,464,466,0
ChipsRd_TON_12.03.25_LS,TON,4,0,false,5,0.08,0.4203,0.4203,886.2,490,494,0
ChipsRd_TON_12.03.25_LS,TON,17,0,duplicate,6,0.15,0.5063,0.5612,1259.1,1100,1108,6
ChipsRd_TON_12.03.25_LS,TON,20,0,duplicate,5,0.08,0.4793,0.4793,1067.1,1186,1190,5
ChipsRd_TON_12.03.25_LS,TON,22,1,primary,20,0.33,0.4628,0.6682,1457.6,1239,1258,20
ChipsRd_TON_12.03.25_LS,TON,49,0,false,3,0.05,0.3,0.3,614.1,8040,8042,0
ChipsRd_TON_12.03.25_LS,TON,57,0,false,24,0.42,0.3416,0.4982,801.0,8582,8606,0
ChipsRd_TON_12.03.25_LS,TON,59,0,false,6,0.12,0.3189,0.35,1185.5,8668,8674,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,26,0,false,3,0.08,0.5958,0.5958,2374.8,16448,16452,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,41,1,primary,50,0.83,0.7802,0.8449,8396.7,17460,17509,44
EMarseilles_MAS_12.22.25_LS_V1,MAS,42,0,false,5,0.23,0.5541,0.5541,1811.8,17630,17643,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,69,1,primary,125,2.1,0.66,0.7741,1176.6,1117,1242,110
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,74,0,duplicate,3,0.05,0.3702,0.3702,460.2,1178,1180,3
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,76,1,primary,54,1.22,0.4722,0.6549,457.2,1191,1263,54
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,91,1,primary,6,0.1,0.4443,0.4523,453.5,1655,1660,6
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,120,1,primary,20,0.33,0.7027,0.7219,879.4,2423,2442,20
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,121,0,duplicate,4,0.07,0.6892,0.6892,694.0,2444,2447,2
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,124,1,primary,8,0.15,0.4784,0.571,467.3,5163,5171,8
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,145,1,primary,52,0.92,0.7436,0.7826,1343.0,8452,8506,48
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,147,1,primary,51,0.85,0.7449,0.8498,2545.3,8489,8539,49
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,148,1,primary,55,0.93,0.7231,0.7903,2567.9,8499,8554,51
