video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,1,0,false,1,0.02,0.3478,0.3478,425.6,50,50,0
AquaCultureRd_TON_12.03.25_LS,TON,18,0,false,1,0.02,0.4006,0.4006,1861.6,1163,1163,0
AquaCultureRd_TON_12.03.25_LS,TON,19,0,false,2,0.03,0.5295,0.5295,1890.3,1176,1177,0
AquaCultureRd_TON_12.03.25_LS,TON,50,0,false,1,0.02,0.4799,0.4799,923.4,2973,2973,0
AquaCultureRd_TON_12.03.25_LS,TON,55,0,false,23,0.62,0.5377,0.6877,895.5,2979,3015,0
AquaCultureRd_TON_12.03.25_LS,TON,110,0,false,1,0.02,0.4166,0.4166,644.9,6051,6051,0
AquaCultureRd_TON_12.03.25_LS,TON,111,0,false,3,0.05,0.3634,0.3634,753.6,6056,6058,0
AquaCultureRd_TON_12.03.25_LS,TON,142,0,false,2,0.03,0.5575,0.5575,672.2,6610,6611,0
AquaCultureRd_TON_12.03.25_LS,TON,166,0,false,1,0.02,0.5168,0.5168,619.6,6685,6685,0
AquaCultureRd_TON_12.03.25_LS,TON,167,0,false,2,0.03,0.4455,0.4455,670.7,6687,6688,0
AquaCultureRd_TON_12.03.25_LS,TON,227,0,false,7,0.2,0.4825,0.5241,1109.7,8706,8717,0
AquaCultureRd_TON_12.03.25_LS,TON,240,0,false,3,0.08,0.564,0.564,1080.2,8772,8776,0
AquaCultureRd_TON_12.03.25_LS,TON,242,0,false,2,0.03,0.532,0.532,820.4,8807,8808,0
AquaCultureRd_TON_12.03.25_LS,TON,246,0,false,1,0.02,0.6525,0.6525,767.3,8816,8816,0
AquaCultureRd_TON_12.03.25_LS,TON,255,0,false,1,0.02,0.4151,0.4151,447.0,9263,9263,0
AquaCultureRd_TON_12.03.25_LS,TON,257,0,false,1,0.02,0.3828,0.3828,413.9,9481,9481,0
AquaCultureRd_TON_12.03.25_LS,TON,265,0,false,1,0.02,0.4507,0.4507,677.6,9665,9665,0
AquaCultureRd_TON_12.03.25_LS,TON,271,0,false,1,0.02,0.5783,0.5783,601.8,9839,9839,0
AquaCultureRd_TON_12.03.25_LS,TON,276,0,false,4,0.07,0.4521,0.4521,610.8,10074,10077,0
AquaCultureRd_TON_12.03.25_LS,TON,283,0,false,2,0.05,0.3733,0.3733,323.0,10282,10284,0
AquaCultureRd_TON_12.03.25_LS,TON,314,0,false,4,0.07,0.31,0.31,492.0,11899,11902,0
AquaCultureRd_TON_12.03.25_LS,TON,337,0,false,2,0.05,0.3823,0.3823,274.2,12111,12113,0
