video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,53,0,false,7,0.2,0.4252,0.4578,489.9,2979,2990,0
AquaCultureRd_TON_12.03.25_LS,TON,61,0,false,1,0.02,0.3625,0.3625,413.6,2998,2998,0
AquaCultureRd_TON_12.03.25_LS,TON,64,0,false,4,0.07,0.1704,0.1704,373.2,3004,3007,0
AquaCultureRd_TON_12.03.25_LS,TON,95,0,false,2,0.03,0.2686,0.2686,736.0,6056,6057,0
AquaCultureRd_TON_12.03.25_LS,TON,115,0,false,1,0.02,0.5166,0.5166,1782.1,6425,6425,0
AquaCultureRd_TON_12.03.25_LS,TON,140,0,false,1,0.02,0.4974,0.4974,697.2,6623,6623,0
AquaCultureRd_TON_12.03.25_LS,TON,141,0,false,11,0.18,0.5013,0.5983,886.2,6679,6689,0
AquaCultureRd_TON_12.03.25_LS,TON,150,0,false,1,0.02,0.5402,0.5402,679.3,8061,8061,0
AquaCultureRd_TON_12.03.25_LS,TON,178,0,false,7,0.25,0.3404,0.3952,3003.2,9631,9645,0
AquaCultureRd_TON_12.03.25_LS,TON,217,0,false,1,0.02,0.392,0.392,680.8,15374,15374,0
AquaCultureRd_TON_12.03.25_LS,TON,219,0,false,4,0.07,0.2693,0.2693,1146.5,15386,15389,0
AquaCultureRd_TON_12.03.25_LS,TON,1219,0,false,2,0.07,0.0565,0.0565,455.6,421,424,0
AquaCultureRd_TON_12.03.25_LS,TON,1220,0,false,1,0.02,0.0855,0.0855,215.8,510,510,0
AquaCultureRd_TON_12.03.25_LS,TON,1221,0,false,1,0.02,0.0837,0.0837,760.0,572,572,0
AquaCultureRd_TON_12.03.25_LS,TON,1222,0,false,1,0.02,0.0521,0.0521,632.1,598,598,0
AquaCultureRd_TON_12.03.25_LS,TON,1223,0,false,7,0.72,0.1177,0.1418,682.2,600,642,0
AquaCultureRd_TON_12.03.25_LS,TON,1224,0,false,1,0.02,0.0886,0.0886,645.6,618,618,0
AquaCultureRd_TON_12.03.25_LS,TON,1225,0,false,1,0.02,0.0673,0.0673,972.2,740,740,0
AquaCultureRd_TON_12.03.25_LS,TON,1226,0,false,1,0.02,0.2414,0.2414,1337.6,908,908,0
AquaCultureRd_TON_12.03.25_LS,TON,1227,0,false,1,0.02,0.0664,0.0664,1315.8,967,967,0
AquaCultureRd_TON_12.03.25_LS,TON,1228,0,false,3,0.15,0.0835,0.0835,848.2,1016,1024,0
AquaCultureRd_TON_12.03.25_LS,TON,1229,0,false,1,0.02,0.0726,0.0726,489.6,1033,1033,0
AquaCultureRd_TON_12.03.25_LS,TON,1230,0,false,3,0.25,0.211,0.211,676.2,1060,1074,0
AquaCultureRd_TON_12.03.25_LS,TON,1231,0,false,5,0.17,0.1936,0.1936,862.6,1066,1075,0
AquaCultureRd_TON_12.03.25_LS,TON,1232,0,false,13,0.68,0.1144,0.176,1279.5,1074,1114,0
AquaCultureRd_TON_12.03.25_LS,TON,1233,0,false,6,0.53,0.1718,0.1942,1611.7,1087,1118,0
AquaCultureRd_TON_12.03.25_LS,TON,1234,0,false,2,0.07,0.0609,0.0609,1585.1,1101,1104,0
AquaCultureRd_TON_12.03.25_LS,TON,1235,0,false,1,0.02,0.0524,0.0524,436.7,1141,1141,0
AquaCultureRd_TON_12.03.25_LS,TON,1236,0,false,4,0.28,0.1095,0.1095,1646.0,1166,1182,0
AquaCultureRd_TON_12.03.25_LS,TON,1237,0,false,5,0.07,0.1733,0.1733,1891.4,1174,1177,0
AquaCultureRd_TON_12.03.25_LS,TON,1238,0,false,2,0.03,0.069,0.069,433.2,1294,1295,0
AquaCultureRd_TON_12.03.25_LS,TON,1239,0,false,8,1.17,0.0871,0.1054,432.1,1340,1409,0
AquaCultureRd_TON_12.03.25_LS,TON,1240,0,false,1,0.02,0.0509,0.0509,450.4,1391,1391,0
AquaCultureRd_TON_12.03.25_LS,TON,1241,0,false,2,0.02,0.0515,0.0515,317.5,1794,1794,0
AquaCultureRd_TON_12.03.25_LS,TON,1242,0,false,3,0.03,0.0663,0.0663,316.8,2001,2002,0
AquaCultureRd_TON_12.03.25_LS,TON,1243,0,false,2,0.03,0.0629,0.0629,406.4,2203,2204,0
AquaCultureRd_TON_12.03.25_LS,TON,1244,0,false,1,0.02,0.0582,0.0582,318.3,2391,2391,0
AquaCultureRd_TON_12.03.25_LS,TON,1245,0,false,3,0.02,0.1215,0.1215,371.3,2398,2398,0
AquaCultureRd_TON_12.03.25_LS,TON,1246,0,false,2,0.03,0.0967,0.0967,351.0,2432,2433,0
AquaCultureRd_TON_12.03.25_LS,TON,1247,0,false,1,0.02,0.0562,0.0562,531.8,2639,2639,0
AquaCultureRd_TON_12.03.25_LS,TON,1248,0,false,1,0.02,0.0659,0.0659,389.5,2714,2714,0
AquaCultureRd_TON_12.03.25_LS,TON,1249,0,false,36,0.6,0.241,0.4939,454.3,2774,2809,0
AquaCultureRd_TON_12.03.25_LS,TON,1250,0,false,3,0.05,0.3556,0.3556,498.3,2781,2783,0
AquaCultureRd_TON_12.03.25_LS,TON,1251,0,false,4,0.18,0.1156,0.1156,399.4,2815,2825,0
AquaCultureRd_TON_12.03.25_LS,TON,1252,0,false,9,0.27,0.1108,0.1405,409.4,2832,2847,0
AquaCultureRd_TON_12.03.25_LS,TON,1253,0,false,5,0.15,0.0612,0.0612,5083.6,2836,2844,0
AquaCultureRd_TON_12.03.25_LS,TON,1254,0,false,2,0.03,0.0959,0.0959,398.7,2842,2843,0
AquaCultureRd_TON_12.03.25_LS,TON,1255,0,false,2,0.3,0.0639,0.0639,2581.6,2849,2866,0
AquaCultureRd_TON_12.03.25_LS,TON,1256,0,false,6,0.07,0.0802,0.085,303.7,2856,2859,0
AquaCultureRd_TON_12.03.25_LS,TON,1257,0,false,3,0.05,0.0774,0.0774,882.3,2922,2924,0
AquaCultureRd_TON_12.03.25_LS,TON,1258,0,false,1,0.02,0.0538,0.0538,433.9,2924,2924,0
AquaCultureRd_TON_12.03.25_LS,TON,1259,0,false,2,0.02,0.0739,0.0739,243.5,2942,2942,0
AquaCultureRd_TON_12.03.25_LS,TON,1260,0,false,22,0.23,0.1868,0.4016,587.2,2970,2983,0
AquaCultureRd_TON_12.03.25_LS,TON,1261,0,false,13,0.22,0.2082,0.3038,368.7,2991,3003,0
AquaCultureRd_TON_12.03.25_LS,TON,1262,0,false,1,0.02,0.0992,0.0992,322.9,3016,3016,0
AquaCultureRd_TON_12.03.25_LS,TON,1263,0,false,11,0.18,0.2273,0.2881,414.6,3029,3039,0
AquaCultureRd_TON_12.03.25_LS,TON,1264,0,false,3,0.05,0.1025,0.1025,2152.2,3081,3083,0
AquaCultureRd_TON_12.03.25_LS,TON,1265,0,false,1,0.02,0.1568,0.1568,210.4,3121,3121,0
AquaCultureRd_TON_12.03.25_LS,TON,1266,0,false,4,0.05,0.1769,0.1769,411.5,3133,3135,0
AquaCultureRd_TON_12.03.25_LS,TON,1267,0,false,3,0.05,0.0983,0.0983,540.6,3461,3463,0
AquaCultureRd_TON_12.03.25_LS,TON,1268,0,false,1,0.02,0.0764,0.0764,397.0,3644,3644,0
AquaCultureRd_TON_12.03.25_LS,TON,1269,0,false,4,0.3,0.1105,0.1105,447.4,3755,3772,0
AquaCultureRd_TON_12.03.25_LS,TON,1270,0,false,1,0.02,0.0516,0.0516,327.0,3783,3783,0
AquaCultureRd_TON_12.03.25_LS,TON,1271,0,false,4,0.08,0.0805,0.0805,633.2,3835,3839,0
AquaCultureRd_TON_12.03.25_LS,TON,1272,0,false,1,0.02,0.0519,0.0519,252.3,3916,3916,0
AquaCultureRd_TON_12.03.25_LS,TON,1273,0,false,2,0.05,0.0989,0.0989,412.0,4114,4116,0
AquaCultureRd_TON_12.03.25_LS,TON,1274,0,false,1,0.02,0.0987,0.0987,439.7,4129,4129,0
AquaCultureRd_TON_12.03.25_LS,TON,1275,0,false,1,0.02,0.0506,0.0506,461.7,4131,4131,0
AquaCultureRd_TON_12.03.25_LS,TON,1276,0,false,2,0.47,0.0761,0.0761,544.9,4153,4180,0
AquaCultureRd_TON_12.03.25_LS,TON,1277,0,false,1,0.02,0.051,0.051,1839.4,4193,4193,0
AquaCultureRd_TON_12.03.25_LS,TON,1278,0,false,1,0.02,0.0695,0.0695,793.5,4213,4213,0
AquaCultureRd_TON_12.03.25_LS,TON,1279,0,false,1,0.02,0.0594,0.0594,1307.0,4299,4299,0
AquaCultureRd_TON_12.03.25_LS,TON,1280,0,false,1,0.02,0.0687,0.0687,519.5,4320,4320,0
AquaCultureRd_TON_12.03.25_LS,TON,1281,0,false,1,0.02,0.3476,0.3476,1424.2,4351,4351,0
AquaCultureRd_TON_12.03.25_LS,TON,1282,0,false,1,0.02,0.0679,0.0679,836.7,4366,4366,0
AquaCultureRd_TON_12.03.25_LS,TON,1283,0,false,2,0.03,0.1692,0.1692,2789.8,4385,4386,0
AquaCultureRd_TON_12.03.25_LS,TON,1284,0,false,1,0.02,0.068,0.068,2087.3,4474,4474,0
AquaCultureRd_TON_12.03.25_LS,TON,1285,0,false,1,0.02,0.2102,0.2102,1011.7,4523,4523,0
AquaCultureRd_TON_12.03.25_LS,TON,1286,0,false,3,0.03,0.1147,0.1147,915.6,4545,4546,0
AquaCultureRd_TON_12.03.25_LS,TON,1287,0,false,1,0.02,0.0677,0.0677,626.8,4553,4553,0
AquaCultureRd_TON_12.03.25_LS,TON,1288,0,false,1,0.02,0.0624,0.0624,664.0,4648,4648,0
AquaCultureRd_TON_12.03.25_LS,TON,1289,0,false,2,0.05,0.0742,0.0742,883.6,4683,4685,0
AquaCultureRd_TON_12.03.25_LS,TON,1290,0,false,1,0.02,0.0568,0.0568,859.2,4719,4719,0
AquaCultureRd_TON_12.03.25_LS,TON,1291,0,false,1,0.02,0.0795,0.0795,694.8,4728,4728,0
AquaCultureRd_TON_12.03.25_LS,TON,1292,0,false,2,0.03,0.0619,0.0619,770.7,4765,4766,0
AquaCultureRd_TON_12.03.25_LS,TON,1293,0,false,1,0.02,0.0642,0.0642,715.6,4774,4774,0
AquaCultureRd_TON_12.03.25_LS,TON,1294,0,false,1,0.02,0.0517,0.0517,1092.1,4859,4859,0
AquaCultureRd_TON_12.03.25_LS,TON,1295,0,false,1,0.02,0.1452,0.1452,1166.7,4861,4861,0
AquaCultureRd_TON_12.03.25_LS,TON,1296,0,false,1,0.02,0.0727,0.0727,1002.0,4906,4906,0
AquaCultureRd_TON_12.03.25_LS,TON,1297,0,false,2,0.05,0.0936,0.0936,905.0,4971,4973,0
AquaCultureRd_TON_12.03.25_LS,TON,1298,0,false,3,0.05,0.3434,0.3434,3057.2,4997,4999,0
AquaCultureRd_TON_12.03.25_LS,TON,1299,0,false,1,0.02,0.0518,0.0518,1243.2,5054,5054,0
AquaCultureRd_TON_12.03.25_LS,TON,1300,0,false,1,0.02,0.0936,0.0936,465.2,5065,5065,0
AquaCultureRd_TON_12.03.25_LS,TON,1301,0,false,1,0.02,0.1454,0.1454,996.2,5097,5097,0
AquaCultureRd_TON_12.03.25_LS,TON,1302,0,false,2,0.45,0.0886,0.0886,670.0,5126,5152,0
AquaCultureRd_TON_12.03.25_LS,TON,1303,0,false,1,0.02,0.0701,0.0701,973.5,5245,5245,0
AquaCultureRd_TON_12.03.25_LS,TON,1304,0,false,5,0.27,0.1195,0.1195,616.3,5302,5317,0
AquaCultureRd_TON_12.03.25_LS,TON,1305,0,false,3,0.05,0.2329,0.2329,496.1,5391,5393,0
AquaCultureRd_TON_12.03.25_LS,TON,1306,0,false,1,0.02,0.0676,0.0676,1149.8,5413,5413,0
AquaCultureRd_TON_12.03.25_LS,TON,1307,0,false,3,0.05,0.0634,0.0634,497.5,5648,5650,0
AquaCultureRd_TON_12.03.25_LS,TON,1308,0,false,1,0.02,0.057,0.057,711.5,5670,5670,0
AquaCultureRd_TON_12.03.25_LS,TON,1309,0,false,2,0.03,0.1433,0.1433,305.0,5671,5672,0
AquaCultureRd_TON_12.03.25_LS,TON,1310,0,false,6,0.12,0.1184,0.1316,564.4,5768,5774,0
AquaCultureRd_TON_12.03.25_LS,TON,1311,0,false,3,0.05,0.2496,0.2496,776.7,5873,5875,0
AquaCultureRd_TON_12.03.25_LS,TON,1312,0,false,2,0.12,0.0697,0.0697,1315.2,5876,5882,0
AquaCultureRd_TON_12.03.25_LS,TON,1313,0,false,1,0.02,0.0576,0.0576,210.0,5917,5917,0
AquaCultureRd_TON_12.03.25_LS,TON,1314,0,false,2,0.03,0.1292,0.1292,1164.4,5921,5922,0
AquaCultureRd_TON_12.03.25_LS,TON,1315,0,false,1,0.02,0.1414,0.1414,627.1,5998,5998,0
AquaCultureRd_TON_12.03.25_LS,TON,1316,0,false,35,2.59,0.2039,0.4913,817.8,6032,6186,0
