video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,93,0,false,1,0.02,0.5374,0.5374,439.4,2782,2782,0
AquaCultureRd_TON_12.03.25_LS,TON,163,0,false,1,0.02,0.4811,0.4811,722.0,2973,2973,0
AquaCultureRd_TON_12.03.25_LS,TON,172,0,false,7,0.2,0.4252,0.4578,489.9,2979,2990,0
AquaCultureRd_TON_12.03.25_LS,TON,187,0,false,1,0.02,0.3625,0.3625,413.6,2998,2998,0
AquaCultureRd_TON_12.03.25_LS,TON,192,0,false,1,0.02,0.4305,0.4305,434.9,3004,3004,0
AquaCultureRd_TON_12.03.25_LS,TON,263,0,false,1,0.02,0.6669,0.6669,3036.9,4998,4998,0
AquaCultureRd_TON_12.03.25_LS,TON,305,0,false,1,0.02,0.4839,0.4839,659.5,6056,6056,0
AquaCultureRd_TON_12.03.25_LS,TON,348,0,false,1,0.02,0.5166,0.5166,1782.1,6425,6425,0
AquaCultureRd_TON_12.03.25_LS,TON,396,0,false,1,0.02,0.4974,0.4974,697.2,6623,6623,0
AquaCultureRd_TON_12.03.25_LS,TON,401,0,false,10,0.17,0.5453,0.5983,848.8,6679,6688,0
AquaCultureRd_TON_12.03.25_LS,TON,461,0,false,1,0.02,0.5402,0.5402,679.3,8061,8061,0
AquaCultureRd_TON_12.03.25_LS,TON,597,0,false,6,0.23,0.3758,0.3952,2978.8,9631,9644,0
AquaCultureRd_TON_12.03.25_LS,TON,997,0,false,1,0.02,0.392,0.392,680.8,15374,15374,0
AquaCultureRd_TON_12.03.25_LS,TON,1004,0,false,2,0.03,0.3692,0.3692,1085.0,15386,15387,0
AquaCultureRd_TON_12.03.25_LS,TON,2004,0,false,4,0.05,0.0401,0.0401,357.5,60,62,0
AquaCultureRd_TON_12.03.25_LS,TON,2005,0,false,1,0.02,0.0375,0.0375,242.3,243,243,0
AquaCultureRd_TON_12.03.25_LS,TON,2006,0,false,5,0.12,0.0312,0.0312,373.4,362,368,0
AquaCultureRd_TON_12.03.25_LS,TON,2007,0,false,4,0.13,0.0419,0.0419,480.2,420,427,0
AquaCultureRd_TON_12.03.25_LS,TON,2008,0,false,1,0.02,0.0289,0.0289,1962.4,459,459,0
AquaCultureRd_TON_12.03.25_LS,TON,2009,0,false,1,0.02,0.0423,0.0423,398.0,474,474,0
AquaCultureRd_TON_12.03.25_LS,TON,2010,0,false,1,0.02,0.0321,0.0321,632.3,477,477,0
AquaCultureRd_TON_12.03.25_LS,TON,2011,0,false,7,0.07,0.0381,0.0446,268.9,510,513,0
AquaCultureRd_TON_12.03.25_LS,TON,2012,0,false,2,0.02,0.0304,0.0304,859.6,518,518,0
AquaCultureRd_TON_12.03.25_LS,TON,2013,0,false,1,0.02,0.0242,0.0242,703.3,538,538,0
AquaCultureRd_TON_12.03.25_LS,TON,2014,0,false,20,1.18,0.0644,0.1457,717.5,572,642,0
AquaCultureRd_TON_12.03.25_LS,TON,2015,0,false,1,0.02,0.0521,0.0521,632.1,598,598,0
AquaCultureRd_TON_12.03.25_LS,TON,2016,0,false,2,0.05,0.065,0.065,690.6,616,618,0
AquaCultureRd_TON_12.03.25_LS,TON,2017,0,false,2,0.03,0.0384,0.0384,218.3,618,619,0
AquaCultureRd_TON_12.03.25_LS,TON,2018,0,false,1,0.02,0.0294,0.0294,819.7,631,631,0
AquaCultureRd_TON_12.03.25_LS,TON,2019,0,false,1,0.02,0.0434,0.0434,1813.9,702,702,0
AquaCultureRd_TON_12.03.25_LS,TON,2020,0,false,1,0.02,0.0673,0.0673,972.2,740,740,0
AquaCultureRd_TON_12.03.25_LS,TON,2021,0,false,1,0.02,0.0204,0.0204,1372.3,740,740,0
AquaCultureRd_TON_12.03.25_LS,TON,2022,0,false,1,0.02,0.0202,0.0202,1151.3,740,740,0
AquaCultureRd_TON_12.03.25_LS,TON,2023,0,false,2,0.1,0.0415,0.0415,1952.3,793,798,0
AquaCultureRd_TON_12.03.25_LS,TON,2024,0,false,1,0.02,0.0282,0.0282,1101.2,840,840,0
AquaCultureRd_TON_12.03.25_LS,TON,2025,0,false,1,0.02,0.028,0.028,589.4,880,880,0
AquaCultureRd_TON_12.03.25_LS,TON,2026,0,false,1,0.02,0.0249,0.0249,1163.3,887,887,0
AquaCultureRd_TON_12.03.25_LS,TON,2027,0,false,4,0.07,0.0835,0.0835,1562.2,908,911,0
AquaCultureRd_TON_12.03.25_LS,TON,2028,0,false,1,0.02,0.026,0.026,1044.1,932,932,0
AquaCultureRd_TON_12.03.25_LS,TON,2029,0,false,1,0.02,0.0259,0.0259,1817.5,949,949,0
AquaCultureRd_TON_12.03.25_LS,TON,2030,0,false,3,0.52,0.041,0.041,1328.5,967,997,0
AquaCultureRd_TON_12.03.25_LS,TON,2031,0,false,15,0.98,0.0781,0.1664,898.0,1016,1074,0
AquaCultureRd_TON_12.03.25_LS,TON,2032,0,false,1,0.02,0.0726,0.0726,489.6,1033,1033,0
AquaCultureRd_TON_12.03.25_LS,TON,2033,0,false,23,0.92,0.0513,0.0965,1505.6,1061,1115,0
AquaCultureRd_TON_12.03.25_LS,TON,2034,0,false,1,0.02,0.0203,0.0203,438.8,1061,1061,0
AquaCultureRd_TON_12.03.25_LS,TON,2035,0,false,2,0.03,0.0358,0.0358,613.3,1064,1065,0
AquaCultureRd_TON_12.03.25_LS,TON,2036,0,false,6,0.18,0.1671,0.1936,853.8,1065,1075,0
AquaCultureRd_TON_12.03.25_LS,TON,2037,0,false,6,0.1,0.1159,0.1331,780.0,1074,1079,0
AquaCultureRd_TON_12.03.25_LS,TON,2038,0,false,8,0.65,0.1381,0.1942,1592.3,1087,1125,0
AquaCultureRd_TON_12.03.25_LS,TON,2039,0,false,4,0.65,0.0725,0.0725,951.3,1089,1127,0
AquaCultureRd_TON_12.03.25_LS,TON,2040,0,false,4,0.07,0.029,0.029,407.1,1110,1113,0
AquaCultureRd_TON_12.03.25_LS,TON,2041,0,false,1,0.02,0.0256,0.0256,789.2,1111,1111,0
AquaCultureRd_TON_12.03.25_LS,TON,2042,0,false,1,0.02,0.0524,0.0524,436.7,1141,1141,0
AquaCultureRd_TON_12.03.25_LS,TON,2043,0,false,9,0.33,0.0632,0.0954,1410.8,1164,1183,0
AquaCultureRd_TON_12.03.25_LS,TON,2044,0,false,9,0.67,0.1059,0.1733,1358.5,1174,1213,0
AquaCultureRd_TON_12.03.25_LS,TON,2045,0,false,1,0.02,0.0398,0.0398,942.8,1232,1232,0
AquaCultureRd_TON_12.03.25_LS,TON,2046,0,false,5,0.22,0.045,0.045,440.8,1283,1295,0
AquaCultureRd_TON_12.03.25_LS,TON,2047,0,false,2,0.03,0.0219,0.0219,412.0,1298,1299,0
AquaCultureRd_TON_12.03.25_LS,TON,2048,0,false,54,1.33,0.0354,0.1054,451.0,1330,1409,0
AquaCultureRd_TON_12.03.25_LS,TON,2049,0,false,9,0.63,0.0336,0.04,481.0,1354,1391,0
AquaCultureRd_TON_12.03.25_LS,TON,2050,0,false,1,0.02,0.0286,0.0286,338.5,1744,1744,0
AquaCultureRd_TON_12.03.25_LS,TON,2051,0,false,28,0.3,0.0307,0.0449,320.2,1782,1799,0
AquaCultureRd_TON_12.03.25_LS,TON,2052,0,false,4,0.07,0.0248,0.0248,395.7,1788,1791,0
AquaCultureRd_TON_12.03.25_LS,TON,2053,0,false,7,0.03,0.0291,0.0321,321.6,1788,1789,0
AquaCultureRd_TON_12.03.25_LS,TON,2054,0,false,2,0.02,0.0301,0.0301,339.5,1793,1793,0
AquaCultureRd_TON_12.03.25_LS,TON,2055,0,false,8,0.23,0.0396,0.05,336.2,2001,2014,0
AquaCultureRd_TON_12.03.25_LS,TON,2056,0,false,2,0.02,0.0271,0.0271,371.4,2014,2014,0
AquaCultureRd_TON_12.03.25_LS,TON,2057,0,false,1,0.02,0.0296,0.0296,1520.1,2029,2029,0
AquaCultureRd_TON_12.03.25_LS,TON,2058,0,false,1,0.02,0.0401,0.0401,365.0,2063,2063,0
AquaCultureRd_TON_12.03.25_LS,TON,2059,0,false,1,0.02,0.0271,0.0271,206.0,2125,2125,0
AquaCultureRd_TON_12.03.25_LS,TON,2060,0,false,1,0.02,0.0211,0.0211,246.3,2172,2172,0
AquaCultureRd_TON_12.03.25_LS,TON,2061,0,false,1,0.02,0.0217,0.0217,391.3,2196,2196,0
AquaCultureRd_TON_12.03.25_LS,TON,2062,0,false,2,0.03,0.0629,0.0629,406.4,2203,2204,0
AquaCultureRd_TON_12.03.25_LS,TON,2063,0,false,1,0.02,0.0328,0.0328,393.1,2256,2256,0
AquaCultureRd_TON_12.03.25_LS,TON,2064,0,false,2,0.03,0.0234,0.0234,414.2,2390,2391,0
AquaCultureRd_TON_12.03.25_LS,TON,2065,0,false,2,0.02,0.0484,0.0484,312.6,2391,2391,0
AquaCultureRd_TON_12.03.25_LS,TON,2066,0,false,1,0.02,0.0274,0.0274,352.0,2391,2391,0
AquaCultureRd_TON_12.03.25_LS,TON,2067,0,false,1,0.02,0.0217,0.0217,383.5,2396,2396,0
AquaCultureRd_TON_12.03.25_LS,TON,2068,0,false,4,0.02,0.0975,0.0975,391.8,2398,2398,0
AquaCultureRd_TON_12.03.25_LS,TON,2069,0,false,1,0.02,0.0254,0.0254,1018.4,2412,2412,0
AquaCultureRd_TON_12.03.25_LS,TON,2070,0,false,3,0.05,0.0788,0.0788,340.3,2432,2434,0
AquaCultureRd_TON_12.03.25_LS,TON,2071,0,false,1,0.02,0.0562,0.0562,531.8,2639,2639,0
AquaCultureRd_TON_12.03.25_LS,TON,2072,0,false,3,0.12,0.0346,0.0346,423.6,2643,2649,0
AquaCultureRd_TON_12.03.25_LS,TON,2073,0,false,1,0.02,0.0228,0.0228,868.5,2653,2653,0
AquaCultureRd_TON_12.03.25_LS,TON,2074,0,false,1,0.02,0.0206,0.0206,381.6,2671,2671,0
AquaCultureRd_TON_12.03.25_LS,TON,2075,0,false,1,0.02,0.0244,0.0244,681.0,2697,2697,0
AquaCultureRd_TON_12.03.25_LS,TON,2076,0,false,3,0.03,0.0389,0.0389,380.5,2714,2715,0
AquaCultureRd_TON_12.03.25_LS,TON,2077,0,false,3,0.1,0.0321,0.0321,996.7,2765,2770,0
AquaCultureRd_TON_12.03.25_LS,TON,2078,0,false,79,0.87,0.1257,0.4939,465.0,2774,2825,0
AquaCultureRd_TON_12.03.25_LS,TON,2079,0,false,7,0.62,0.0938,0.1226,415.8,2781,2817,0
AquaCultureRd_TON_12.03.25_LS,TON,2080,0,false,1,0.02,0.23,0.23,428.7,2805,2805,0
AquaCultureRd_TON_12.03.25_LS,TON,2081,0,false,1,0.02,0.0237,0.0237,454.2,2809,2809,0
AquaCultureRd_TON_12.03.25_LS,TON,2082,0,false,9,0.37,0.0496,0.0612,4924.2,2823,2844,0
AquaCultureRd_TON_12.03.25_LS,TON,2083,0,false,19,0.27,0.0577,0.1124,444.5,2832,2847,0
AquaCultureRd_TON_12.03.25_LS,TON,2084,0,false,3,0.05,0.1396,0.1396,379.7,2842,2844,0
AquaCultureRd_TON_12.03.25_LS,TON,2085,0,false,20,0.25,0.0417,0.0769,650.0,2845,2859,0
AquaCultureRd_TON_12.03.25_LS,TON,2086,0,false,5,0.33,0.0356,0.0356,1511.4,2849,2868,0
AquaCultureRd_TON_12.03.25_LS,TON,2087,0,false,3,0.02,0.0593,0.0593,307.2,2859,2859,0
AquaCultureRd_TON_12.03.25_LS,TON,2088,0,false,4,0.15,0.0266,0.0266,279.0,2861,2869,0
AquaCultureRd_TON_12.03.25_LS,TON,2089,0,false,3,0.07,0.0402,0.0402,2074.2,2866,2869,0
AquaCultureRd_TON_12.03.25_LS,TON,2090,0,false,2,0.03,0.0302,0.0302,577.9,2896,2897,0
AquaCultureRd_TON_12.03.25_LS,TON,2091,0,false,5,0.05,0.0571,0.0571,789.0,2922,2924,0
AquaCultureRd_TON_12.03.25_LS,TON,2092,0,false,1,0.02,0.0256,0.0256,438.8,2922,2922,0
AquaCultureRd_TON_12.03.25_LS,TON,2093,0,false,2,0.02,0.038,0.038,427.2,2924,2924,0
AquaCultureRd_TON_12.03.25_LS,TON,2094,0,false,5,0.03,0.0511,0.0511,252.5,2941,2942,0
AquaCultureRd_TON_12.03.25_LS,TON,2095,0,false,15,0.65,0.1419,0.2711,371.6,2969,3007,0
AquaCultureRd_TON_12.03.25_LS,TON,2096,0,false,38,0.23,0.1083,0.3595,593.1,2970,2983,0
AquaCultureRd_TON_12.03.25_LS,TON,2097,0,false,6,0.07,0.1611,0.1893,396.5,2991,2994,0
AquaCultureRd_TON_12.03.25_LS,TON,2098,0,false,2,0.03,0.069,0.069,365.3,3015,3016,0
AquaCultureRd_TON_12.03.25_LS,TON,2099,0,false,27,0.3,0.1105,0.2881,451.5,3023,3040,0
AquaCultureRd_TON_12.03.25_LS,TON,2100,0,false,1,0.02,0.0262,0.0262,347.5,3044,3044,0
AquaCultureRd_TON_12.03.25_LS,TON,2101,0,false,1,0.02,0.0301,0.0301,875.9,3058,3058,0
AquaCultureRd_TON_12.03.25_LS,TON,2102,0,false,5,0.08,0.0755,0.0755,2025.9,3080,3084,0
AquaCultureRd_TON_12.03.25_LS,TON,2103,0,false,1,0.02,0.1568,0.1568,210.4,3121,3121,0
AquaCultureRd_TON_12.03.25_LS,TON,2104,0,false,5,0.05,0.1487,0.1487,418.6,3133,3135,0
AquaCultureRd_TON_12.03.25_LS,TON,2105,0,false,1,0.02,0.0227,0.0227,331.5,3228,3228,0
AquaCultureRd_TON_12.03.25_LS,TON,2106,0,false,3,0.05,0.0983,0.0983,540.6,3461,3463,0
AquaCultureRd_TON_12.03.25_LS,TON,2107,0,false,1,0.02,0.0235,0.0235,372.3,3505,3505,0
AquaCultureRd_TON_12.03.25_LS,TON,2108,0,false,4,0.03,0.0441,0.0441,396.5,3644,3645,0
AquaCultureRd_TON_12.03.25_LS,TON,2109,0,false,1,0.02,0.033,0.033,249.4,3644,3644,0
AquaCultureRd_TON_12.03.25_LS,TON,2110,0,false,1,0.02,0.0258,0.0258,751.2,3710,3710,0
