video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,89,0,false,1,0.02,0.3496,0.3496,423.2,1074,1074,0
AquaCultureRd_TON_12.03.25_LS,TON,317,0,false,1,0.02,0.5374,0.5374,444.1,2782,2782,0
AquaCultureRd_TON_12.03.25_LS,TON,352,0,false,1,0.02,0.4355,0.4355,570.3,2785,2785,0
AquaCultureRd_TON_12.03.25_LS,TON,456,0,false,1,0.02,0.5635,0.5635,450.8,2803,2803,0
AquaCultureRd_TON_12.03.25_LS,TON,649,0,false,2,0.03,0.4331,0.4331,668.7,2972,2973,0
AquaCultureRd_TON_12.03.25_LS,TON,662,0,false,1,0.02,0.4197,0.4197,719.7,2973,2973,0
AquaCultureRd_TON_12.03.25_LS,TON,722,0,false,14,0.32,0.1891,0.4199,447.4,2979,2997,0
AquaCultureRd_TON_12.03.25_LS,TON,723,0,false,18,0.45,0.2384,0.4243,410.9,2979,3005,0
AquaCultureRd_TON_12.03.25_LS,TON,724,0,false,3,0.05,0.2881,0.2881,487.9,2979,2981,0
AquaCultureRd_TON_12.03.25_LS,TON,780,0,false,2,0.03,0.3577,0.3577,501.0,2985,2986,0
AquaCultureRd_TON_12.03.25_LS,TON,782,0,false,2,0.03,0.1848,0.1848,530.3,2985,2986,0
AquaCultureRd_TON_12.03.25_LS,TON,886,0,false,2,0.03,0.202,0.202,382.1,3004,3005,0
AquaCultureRd_TON_12.03.25_LS,TON,1114,0,false,1,0.02,0.6669,0.6669,3036.9,4998,4998,0
AquaCultureRd_TON_12.03.25_LS,TON,1295,0,false,2,0.03,0.2544,0.2544,716.8,6056,6057,0
AquaCultureRd_TON_12.03.25_LS,TON,1546,0,false,2,0.03,0.2803,0.2803,1747.1,6425,6426,0
AquaCultureRd_TON_12.03.25_LS,TON,1732,0,false,1,0.02,0.4974,0.4974,697.2,6623,6623,0
AquaCultureRd_TON_12.03.25_LS,TON,1733,0,false,1,0.02,0.4065,0.4065,625.6,6623,6623,0
AquaCultureRd_TON_12.03.25_LS,TON,1745,0,false,10,0.17,0.3925,0.5925,902.4,6679,6688,0
