video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,53,0,false,7,0.2,0.4252,0.4578,489.9,2979,2990,0
AquaCultureRd_TON_12.03.25_LS,TON,61,0,false,1,0.02,0.3625,0.3625,413.6,2998,2998,0
AquaCultureRd_TON_12.03.25_LS,TON,64,0,false,1,0.02,0.4305,0.4305,434.9,3004,3004,0
AquaCultureRd_TON_12.03.25_LS,TON,95,0,false,1,0.02,0.4839,0.4839,659.5,6056,6056,0
AquaCultureRd_TON_12.03.25_LS,TON,115,0,false,1,0.02,0.5166,0.5166,1782.1,6425,6425,0
AquaCultureRd_TON_12.03.25_LS,TON,140,0,false,1,0.02,0.4974,0.4974,697.2,6623,6623,0
AquaCultureRd_TON_12.03.25_LS,TON,141,0,false,10,0.17,0.5453,0.5983,848.8,6679,6688,0
AquaCultureRd_TON_12.03.25_LS,TON,150,0,false,1,0.02,0.5402,0.5402,679.3,8061,8061,0
AquaCultureRd_TON_12.03.25_LS,TON,178,0,false,7,0.25,0.3404,0.3952,3003.2,9631,9645,0
AquaCultureRd_TON_12.03.25_LS,TON,217,0,false,1,0.02,0.392,0.392,680.8,15374,15374,0
AquaCultureRd_TON_12.03.25_LS,TON,219,0,false,4,0.07,0.2693,0.2693,1146.5,15386,15389,0
AquaCultureRd_TON_12.03.25_LS,TON,1219,0,false,2,0.08,0.2535,0.2535,643.5,618,622,0
AquaCultureRd_TON_12.03.25_LS,TON,1220,0,false,1,0.02,0.2414,0.2414,1337.6,908,908,0
AquaCultureRd_TON_12.03.25_LS,TON,1221,0,false,1,0.02,0.1075,0.1075,607.8,1023,1023,0
AquaCultureRd_TON_12.03.25_LS,TON,1222,0,false,5,0.17,0.1936,0.1936,862.6,1066,1075,0
AquaCultureRd_TON_12.03.25_LS,TON,1223,0,false,2,0.03,0.2896,0.2896,406.6,1073,1074,0
AquaCultureRd_TON_12.03.25_LS,TON,1224,0,false,6,0.68,0.1634,0.176,1209.7,1074,1114,0
AquaCultureRd_TON_12.03.25_LS,TON,1225,0,false,4,0.52,0.2271,0.2271,1565.9,1087,1117,0
AquaCultureRd_TON_12.03.25_LS,TON,1226,0,false,1,0.02,0.2318,0.2318,2191.3,1166,1166,0
AquaCultureRd_TON_12.03.25_LS,TON,1227,0,false,3,0.05,0.2388,0.2388,2164.6,1175,1177,0
AquaCultureRd_TON_12.03.25_LS,TON,1228,0,false,3,0.3,0.1333,0.1333,375.6,1373,1390,0
AquaCultureRd_TON_12.03.25_LS,TON,1229,0,false,1,0.02,0.2299,0.2299,351.6,2398,2398,0
AquaCultureRd_TON_12.03.25_LS,TON,1230,0,false,1,0.02,0.133,0.133,345.0,2433,2433,0
AquaCultureRd_TON_12.03.25_LS,TON,1231,0,false,6,0.08,0.2674,0.2926,329.5,2778,2782,0
AquaCultureRd_TON_12.03.25_LS,TON,1232,0,false,23,0.48,0.3008,0.4833,478.7,2781,2809,0
AquaCultureRd_TON_12.03.25_LS,TON,1233,0,false,1,0.02,0.5904,0.5904,413.9,2797,2797,0
AquaCultureRd_TON_12.03.25_LS,TON,1234,0,false,1,0.02,0.209,0.209,395.3,2818,2818,0
AquaCultureRd_TON_12.03.25_LS,TON,1235,0,false,4,0.07,0.151,0.151,411.5,2844,2847,0
AquaCultureRd_TON_12.03.25_LS,TON,1236,0,false,1,0.02,0.1345,0.1345,291.1,2856,2856,0
AquaCultureRd_TON_12.03.25_LS,TON,1237,0,false,10,0.23,0.3233,0.4016,567.0,2970,2983,0
AquaCultureRd_TON_12.03.25_LS,TON,1238,0,false,11,0.22,0.2363,0.3038,362.7,2991,3003,0
AquaCultureRd_TON_12.03.25_LS,TON,1239,0,false,11,0.18,0.2273,0.2881,414.6,3029,3039,0
AquaCultureRd_TON_12.03.25_LS,TON,1240,0,false,1,0.02,0.1847,0.1847,2327.6,3082,3082,0
AquaCultureRd_TON_12.03.25_LS,TON,1241,0,false,1,0.02,0.1568,0.1568,210.4,3121,3121,0
AquaCultureRd_TON_12.03.25_LS,TON,1242,0,false,2,0.05,0.28,0.28,396.9,3133,3135,0
AquaCultureRd_TON_12.03.25_LS,TON,1243,0,false,2,0.03,0.1197,0.1197,599.6,3462,3463,0
AquaCultureRd_TON_12.03.25_LS,TON,1244,0,false,2,0.03,0.1446,0.1446,479.7,3756,3757,0
AquaCultureRd_TON_12.03.25_LS,TON,1245,0,false,1,0.02,0.1417,0.1417,666.9,3839,3839,0
AquaCultureRd_TON_12.03.25_LS,TON,1246,0,false,1,0.02,0.1395,0.1395,421.7,4116,4116,0
AquaCultureRd_TON_12.03.25_LS,TON,1247,0,false,1,0.02,0.3476,0.3476,1424.2,4351,4351,0
AquaCultureRd_TON_12.03.25_LS,TON,1248,0,false,1,0.02,0.2794,0.2794,2616.2,4385,4385,0
AquaCultureRd_TON_12.03.25_LS,TON,1249,0,false,1,0.02,0.2102,0.2102,1011.7,4523,4523,0
AquaCultureRd_TON_12.03.25_LS,TON,1250,0,false,2,0.03,0.1444,0.1444,893.3,4545,4546,0
AquaCultureRd_TON_12.03.25_LS,TON,1251,0,false,1,0.02,0.1452,0.1452,1166.7,4861,4861,0
AquaCultureRd_TON_12.03.25_LS,TON,1252,0,false,1,0.02,0.132,0.132,913.3,4973,4973,0
AquaCultureRd_TON_12.03.25_LS,TON,1253,0,false,3,0.05,0.3434,0.3434,3057.2,4997,4999,0
AquaCultureRd_TON_12.03.25_LS,TON,1254,0,false,1,0.02,0.1454,0.1454,996.2,5097,5097,0
AquaCultureRd_TON_12.03.25_LS,TON,1255,0,false,1,0.02,0.1135,0.1135,752.6,5152,5152,0
AquaCultureRd_TON_12.03.25_LS,TON,1256,0,false,1,0.02,0.1734,0.1734,626.1,5302,5302,0
AquaCultureRd_TON_12.03.25_LS,TON,1257,0,false,2,0.07,0.1536,0.1536,570.5,5314,5317,0
AquaCultureRd_TON_12.03.25_LS,TON,1258,0,false,3,0.05,0.2329,0.2329,496.1,5391,5393,0
AquaCultureRd_TON_12.03.25_LS,TON,1259,0,false,2,0.03,0.1433,0.1433,305.0,5671,5672,0
AquaCultureRd_TON_12.03.25_LS,TON,1260,0,false,2,0.05,0.211,0.211,571.3,5771,5773,0
AquaCultureRd_TON_12.03.25_LS,TON,1261,0,false,2,0.03,0.3389,0.3389,794.1,5874,5875,0
AquaCultureRd_TON_12.03.25_LS,TON,1262,0,false,1,0.02,0.1955,0.1955,1085.8,5921,5921,0
AquaCultureRd_TON_12.03.25_LS,TON,1263,0,false,1,0.02,0.1414,0.1414,627.1,5998,5998,0
AquaCultureRd_TON_12.03.25_LS,TON,1264,0,false,18,1.28,0.2615,0.4129,777.3,6039,6115,0
AquaCultureRd_TON_12.03.25_LS,TON,1265,0,false,1,0.02,0.1838,0.1838,1558.5,6085,6085,0
AquaCultureRd_TON_12.03.25_LS,TON,1266,0,false,4,0.63,0.1562,0.1562,857.1,6149,6186,0
AquaCultureRd_TON_12.03.25_LS,TON,1267,0,false,4,0.33,0.3694,0.3694,854.5,6167,6186,0
AquaCultureRd_TON_12.03.25_LS,TON,1268,0,false,1,0.02,0.1064,0.1064,524.6,6169,6169,0
AquaCultureRd_TON_12.03.25_LS,TON,1269,0,false,1,0.02,0.1601,0.1601,674.0,6255,6255,0
AquaCultureRd_TON_12.03.25_LS,TON,1270,0,false,3,0.05,0.264,0.264,1841.8,6424,6426,0
AquaCultureRd_TON_12.03.25_LS,TON,1271,0,false,1,0.02,0.1583,0.1583,1173.1,6502,6502,0
AquaCultureRd_TON_12.03.25_LS,TON,1272,0,false,2,0.03,0.1385,0.1385,668.6,6570,6571,0
AquaCultureRd_TON_12.03.25_LS,TON,1273,0,false,1,0.02,0.2304,0.2304,593.4,6574,6574,0
AquaCultureRd_TON_12.03.25_LS,TON,1274,0,false,3,0.3,0.1898,0.1898,1144.9,6576,6593,0
AquaCultureRd_TON_12.03.25_LS,TON,1275,0,false,7,0.13,0.3196,0.3683,497.8,6585,6592,0
AquaCultureRd_TON_12.03.25_LS,TON,1276,0,false,1,0.02,0.1408,0.1408,571.0,6600,6600,0
AquaCultureRd_TON_12.03.25_LS,TON,1277,0,false,12,0.2,0.3017,0.425,452.7,6611,6622,0
AquaCultureRd_TON_12.03.25_LS,TON,1278,0,false,4,0.17,0.1438,0.1438,538.2,6613,6622,0
AquaCultureRd_TON_12.03.25_LS,TON,1279,0,false,1,0.02,0.5222,0.5222,596.6,6678,6678,0
AquaCultureRd_TON_12.03.25_LS,TON,1280,0,false,2,0.03,0.1514,0.1514,1047.3,6700,6701,0
AquaCultureRd_TON_12.03.25_LS,TON,1281,0,false,1,0.02,0.1112,0.1112,896.1,6805,6805,0
AquaCultureRd_TON_12.03.25_LS,TON,1282,0,false,1,0.02,0.1826,0.1826,882.3,7070,7070,0
AquaCultureRd_TON_12.03.25_LS,TON,1283,0,false,1,0.02,0.1619,0.1619,942.6,7108,7108,0
AquaCultureRd_TON_12.03.25_LS,TON,1284,0,false,1,0.02,0.1805,0.1805,721.1,7229,7229,0
AquaCultureRd_TON_12.03.25_LS,TON,1285,0,false,1,0.02,0.1472,0.1472,583.5,7505,7505,0
AquaCultureRd_TON_12.03.25_LS,TON,1286,0,false,2,0.07,0.1134,0.1134,2430.5,7716,7719,0
AquaCultureRd_TON_12.03.25_LS,TON,1287,0,false,1,0.02,0.1747,0.1747,3527.7,7720,7720,0
AquaCultureRd_TON_12.03.25_LS,TON,1288,0,false,4,0.38,0.1629,0.1629,314.4,7770,7792,0
AquaCultureRd_TON_12.03.25_LS,TON,1289,0,false,1,0.02,0.1191,0.1191,310.8,7792,7792,0
AquaCultureRd_TON_12.03.25_LS,TON,1290,0,false,1,0.02,0.1004,0.1004,264.9,7841,7841,0
AquaCultureRd_TON_12.03.25_LS,TON,1291,0,false,1,0.02,0.1108,0.1108,538.3,7908,7908,0
AquaCultureRd_TON_12.03.25_LS,TON,1292,0,false,4,0.57,0.1819,0.1819,644.3,8027,8060,0
AquaCultureRd_TON_12.03.25_LS,TON,1293,0,false,1,0.02,0.1101,0.1101,392.7,8030,8030,0
AquaCultureRd_TON_12.03.25_LS,TON,1294,0,false,2,0.03,0.1641,0.1641,815.0,8071,8072,0
AquaCultureRd_TON_12.03.25_LS,TON,1295,0,false,1,0.02,0.3751,0.3751,436.2,8114,8114,0
AquaCultureRd_TON_12.03.25_LS,TON,1296,0,false,1,0.02,0.2636,0.2636,507.7,8119,8119,0
AquaCultureRd_TON_12.03.25_LS,TON,1297,0,false,4,0.45,0.2183,0.2183,636.8,8615,8641,0
AquaCultureRd_TON_12.03.25_LS,TON,1298,0,false,1,0.02,0.1327,0.1327,306.1,8632,8632,0
AquaCultureRd_TON_12.03.25_LS,TON,1299,0,false,9,0.77,0.1638,0.2101,883.2,8643,8688,0
AquaCultureRd_TON_12.03.25_LS,TON,1300,0,false,1,0.02,0.1103,0.1103,504.2,8659,8659,0
AquaCultureRd_TON_12.03.25_LS,TON,1301,0,false,2,0.35,0.1409,0.1409,737.9,8669,8689,0
AquaCultureRd_TON_12.03.25_LS,TON,1302,0,false,1,0.02,0.1047,0.1047,1081.7,8709,8709,0
AquaCultureRd_TON_12.03.25_LS,TON,1303,0,false,1,0.02,0.1647,0.1647,434.9,8759,8759,0
AquaCultureRd_TON_12.03.25_LS,TON,1304,0,false,1,0.02,0.1012,0.1012,667.3,8759,8759,0
AquaCultureRd_TON_12.03.25_LS,TON,1305,0,false,5,0.1,0.45,0.45,741.1,8811,8816,0
AquaCultureRd_TON_12.03.25_LS,TON,1306,0,false,2,0.03,0.1275,0.1275,610.8,8965,8966,0
AquaCultureRd_TON_12.03.25_LS,TON,1307,0,false,1,0.02,0.1527,0.1527,446.1,9013,9013,0
AquaCultureRd_TON_12.03.25_LS,TON,1308,0,false,1,0.02,0.1179,0.1179,218.2,9115,9115,0
AquaCultureRd_TON_12.03.25_LS,TON,1309,0,false,2,0.03,0.4354,0.4354,1786.4,9130,9131,0
AquaCultureRd_TON_12.03.25_LS,TON,1310,0,false,4,0.13,0.1299,0.1299,597.9,9256,9263,0
AquaCultureRd_TON_12.03.25_LS,TON,1311,0,false,2,0.12,0.117,0.117,449.6,9296,9302,0
AquaCultureRd_TON_12.03.25_LS,TON,1312,0,false,1,0.02,0.1331,0.1331,834.4,9311,9311,0
AquaCultureRd_TON_12.03.25_LS,TON,1313,0,false,1,0.02,0.1549,0.1549,506.6,9384,9384,0
AquaCultureRd_TON_12.03.25_LS,TON,1314,0,false,3,0.2,0.1532,0.1532,715.4,9417,9428,0
AquaCultureRd_TON_12.03.25_LS,TON,1315,0,false,5,0.57,0.1514,0.1514,446.5,9454,9487,0
AquaCultureRd_TON_12.03.25_LS,TON,1316,0,false,1,0.02,0.1276,0.1276,501.3,9454,9454,0
