video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,53,0,false,7,0.2,0.4252,0.4578,489.9,2979,2990,0
AquaCultureRd_TON_12.03.25_LS,TON,61,0,false,1,0.02,0.3625,0.3625,413.6,2998,2998,0
AquaCultureRd_TON_12.03.25_LS,TON,64,0,false,1,0.02,0.4305,0.4305,434.9,3004,3004,0
AquaCultureRd_TON_12.03.25_LS,TON,95,0,false,1,0.02,0.4839,0.4839,659.5,6056,6056,0
AquaCultureRd_TON_12.03.25_LS,TON,115,0,false,1,0.02,0.5166,0.5166,1782.1,6425,6425,0
AquaCultureRd_TON_12.03.25_LS,TON,140,0,false,1,0.02,0.4974,0.4974,697.2,6623,6623,0
AquaCultureRd_TON_12.03.25_LS,TON,141,0,false,10,0.17,0.5453,0.5983,848.8,6679,6688,0
AquaCultureRd_TON_12.03.25_LS,TON,150,0,false,1,0.02,0.5402,0.5402,679.3,8061,8061,0
AquaCultureRd_TON_12.03.25_LS,TON,178,0,false,7,0.25,0.3404,0.3952,3003.2,9631,9645,0
AquaCultureRd_TON_12.03.25_LS,TON,217,0,false,1,0.02,0.392,0.392,680.8,15374,15374,0
AquaCultureRd_TON_12.03.25_LS,TON,219,0,false,4,0.07,0.2693,0.2693,1146.5,15386,15389,0
ChipsRd_TON_12.03.25_LS,TON,5,0,false,3,0.05,0.3367,0.3367,1351.8,464,466,0
ChipsRd_TON_12.03.25_LS,TON,17,0,false,6,0.1,0.4338,0.4949,908.8,489,494,0
ChipsRd_TON_12.03.25_LS,TON,41,0,false,1,0.02,0.3896,0.3896,574.9,987,987,0
ChipsRd_TON_12.03.25_LS,TON,50,0,duplicate,6,0.15,0.5063,0.5612,1259.1,1100,1108,6
ChipsRd_TON_12.03.25_LS,TON,54,0,duplicate,2,0.03,0.4959,0.4959,905.2,1177,1178,2
ChipsRd_TON_12.03.25_LS,TON,56,0,duplicate,5,0.08,0.4793,0.4793,1067.1,1186,1190,5
ChipsRd_TON_12.03.25_LS,TON,70,1,primary,21,0.42,0.4716,0.6682,1460.5,1238,1262,21
ChipsRd_TON_12.03.25_LS,TON,89,0,false,1,0.02,0.4252,0.4252,276.6,1503,1503,0
ChipsRd_TON_12.03.25_LS,TON,115,0,false,1,0.02,0.4827,0.4827,1371.9,2588,2588,0
ChipsRd_TON_12.03.25_LS,TON,168,0,false,2,0.03,0.5629,0.5629,668.5,4021,4022,0
ChipsRd_TON_12.03.25_LS,TON,194,0,false,1,0.02,0.6244,0.6244,599.9,8016,8016,0
ChipsRd_TON_12.03.25_LS,TON,198,0,false,3,0.05,0.3,0.3,614.1,8040,8042,0
ChipsRd_TON_12.03.25_LS,TON,203,0,false,1,0.02,0.4481,0.4481,666.3,8188,8188,0
ChipsRd_TON_12.03.25_LS,TON,217,0,false,21,0.4,0.3629,0.4982,810.9,8582,8605,0
ChipsRd_TON_12.03.25_LS,TON,230,0,false,3,0.07,0.4419,0.4419,1226.6,8668,8671,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,4,0,false,1,0.02,0.3838,0.3838,1982.5,430,430,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,15,0,false,1,0.02,0.3686,0.3686,742.6,1715,1715,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,79,0,false,1,0.02,0.6081,0.6081,1486.6,16436,16436,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,0,false,1,0.02,0.553,0.553,2358.6,16448,16448,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,86,0,false,3,0.05,0.6008,0.6008,2334.0,16450,16452,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,110,1,primary,50,0.83,0.7802,0.8449,8396.7,17460,17509,44
EMarseilles_MAS_12.22.25_LS_V1,MAS,113,0,false,5,0.23,0.5541,0.5541,1811.8,17630,17643,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,114,0,false,4,0.07,0.502,0.502,1620.0,17632,17635,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,128,0,false,1,0.02,0.5813,0.5813,1170.4,17659,17659,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,130,0,false,1,0.02,0.5056,0.5056,1501.7,17662,17662,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,40,0,false,1,0.02,0.5845,0.5845,601.7,6587,6587,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,75,0,false,1,0.02,0.7025,0.7025,1611.7,9145,9145,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,79,0,false,1,0.02,0.547,0.547,1025.5,9197,9197,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,100,0,false,2,0.03,0.6312,0.6312,1596.4,9780,9781,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,253,1,primary,125,2.1,0.66,0.7741,1176.6,1117,1242,110
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,257,1,primary,54,1.38,0.457,0.6461,449.6,1173,1255,51
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,281,0,duplicate,9,0.23,0.4736,0.5747,498.2,1250,1263,9
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,319,1,primary,6,0.1,0.4443,0.4523,453.5,1655,1660,6
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,356,1,primary,20,0.33,0.7027,0.7219,879.4,2423,2442,20
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,357,0,duplicate,4,0.07,0.6892,0.6892,694.0,2444,2447,2
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,372,1,primary,8,0.15,0.4784,0.571,467.3,5163,5171,8
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,395,0,false,2,0.03,0.4486,0.4486,1078.3,7003,7004,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,411,0,false,1,0.02,0.4585,0.4585,675.0,7725,7725,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,418,0,false,3,0.07,0.3817,0.3817,1590.9,8153,8156,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,433,1,primary,52,0.92,0.7436,0.7826,1343.0,8452,8506,48
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,435,1,primary,51,0.85,0.7449,0.8498,2545.3,8489,8539,49
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,436,1,primary,55,0.93,0.7231,0.7903,2567.9,8499,8554,51
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,438,1,primary,51,0.85,0.7745,0.8315,2515.9,8514,8564,49
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,440,1,primary,53,0.88,0.7377,0.8166,3933.4,8521,8573,50
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,441,1,primary,32,0.53,0.7338,0.8136,3324.7,8542,8573,30
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,449,0,false,2,0.03,0.5804,0.5804,1675.1,8597,8598,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,452,0,false,1,0.02,0.4679,0.4679,969.9,8661,8661,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,474,1,primary,45,0.9,0.5971,0.744,1198.9,9330,9383,33
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,478,1,primary,18,0.35,0.5576,0.7147,843.7,9344,9364,14
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,493,0,false,2,0.03,0.4393,0.4393,1361.5,9375,9376,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,510,0,duplicate,4,0.07,0.3834,0.3834,1216.1,9388,9391,2
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,513,0,false,2,0.03,0.2611,0.2611,1016.2,9395,9396,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,523,0,duplicate,47,0.78,0.7383,0.7739,676.4,9403,9449,47
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,527,1,primary,186,3.32,0.6321,0.7745,672.0,9452,9650,186
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,553,0,duplicate,135,2.72,0.5884,0.7498,873.8,9653,9815,134
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,555,0,false,3,0.05,0.5974,0.5974,826.6,9664,9666,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,559,1,primary,178,3.13,0.6944,0.7835,981.6,9676,9863,175
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,565,0,false,1,0.02,0.518,0.518,1079.7,9719,9719,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,586,1,primary,93,1.65,0.6741,0.76,1561.0,9869,9967,82
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,609,0,false,3,0.05,0.5042,0.5042,1572.9,9972,9974,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,623,0,false,1,0.02,0.3803,0.3803,1502.5,9983,9983,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,632,0,false,14,0.23,0.5008,0.5963,1423.9,10039,10052,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,639,0,duplicate,5,0.08,0.343,0.343,551.1,10293,10297,5
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,650,1,primary,7,0.12,0.3637,0.4019,626.6,10324,10330,7
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,652,0,false,2,0.03,0.4539,0.4539,1331.4,10601,10602,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,670,0,false,6,0.1,0.4981,0.5234,839.7,11814,11819,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,683,0,false,1,0.02,0.4116,0.4116,1006.3,12196,12196,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,693,0,false,7,0.15,0.5037,0.5821,922.9,12214,12222,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,700,0,false,2,0.03,0.343,0.343,924.4,12227,12228,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,708,0,false,1,0.02,0.3936,0.3936,827.5,12242,12242,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,711,0,false,1,0.02,0.5919,0.5919,881.9,12245,12245,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,713,0,duplicate,19,0.38,0.5287,0.6754,833.1,12251,12273,5
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,736,0,duplicate,15,0.25,0.5577,0.6794,858.3,12326,12340,15
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,746,0,duplicate,13,0.22,0.4596,0.5232,923.5,12343,12355,13
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,751,0,duplicate,13,0.42,0.4031,0.4776,964.4,12346,12370,10
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,762,0,false,3,0.1,0.3884,0.3884,808.0,12361,12366,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,777,0,duplicate,4,0.07,0.4099,0.4099,842.3,12373,12376,4
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,789,0,duplicate,25,0.67,0.5115,0.6727,856.6,12385,12424,25
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,793,0,duplicate,4,0.07,0.4447,0.4447,1023.9,12389,12392,4
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,813,0,duplicate,80,1.92,0.4989,0.7003,933.9,12407,12521,80
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,821,0,false,7,0.12,0.4566,0.5176,996.3,12411,12417,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,834,0,duplicate,2,0.03,0.4605,0.4605,844.6,12431,12432,2
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,839,0,duplicate,1,0.02,0.4495,0.4495,887.0,12445,12445,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,844,1,primary,151,3.45,0.556,0.7589,825.6,12452,12658,151
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,849,0,false,3,0.05,0.521,0.521,902.6,12461,12463,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,863,0,false,2,0.03,0.3047,0.3047,921.7,12476,12477,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,870,0,duplicate,1,0.02,0.455,0.455,890.9,12490,12490,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,876,0,false,1,0.02,0.5202,0.5202,839.7,12493,12493,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,880,0,false,8,0.13,0.4395,0.4868,820.6,12497,12504,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,898,0,duplicate,82,1.9,0.5858,0.7688,771.3,12512,12625,67
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,899,0,false,2,0.03,0.5089,0.5089,835.3,12514,12515,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,919,0,duplicate,63,1.22,0.6481,0.7441,935.4,12530,12602,63
