video,site,track_id,label,kind,n_frames,span_s,mean_conf,topk_conf,mean_box_px,first_frame,last_frame,gt_overlap_frames
AquaCultureRd_TON_12.03.25_LS,TON,18,0,false,1,0.02,0.0917,0.0917,628.8,1024,1024,0
AquaCultureRd_TON_12.03.25_LS,TON,21,0,false,1,0.02,0.326,0.326,615.1,1067,1067,0
AquaCultureRd_TON_12.03.25_LS,TON,22,0,false,1,0.02,0.3496,0.3496,421.5,1074,1074,0
AquaCultureRd_TON_12.03.25_LS,TON,23,0,false,2,0.03,0.135,0.135,1022.1,1074,1075,0
AquaCultureRd_TON_12.03.25_LS,TON,24,0,false,4,0.07,0.0837,0.0837,804.9,1075,1078,0
AquaCultureRd_TON_12.03.25_LS,TON,26,0,false,1,0.02,0.1742,0.1742,998.2,1088,1088,0
AquaCultureRd_TON_12.03.25_LS,TON,30,0,false,2,0.03,0.1124,0.1124,1541.1,1106,1107,0
AquaCultureRd_TON_12.03.25_LS,TON,31,0,false,1,0.02,0.0678,0.0678,2006.0,1107,1107,0
AquaCultureRd_TON_12.03.25_LS,TON,35,0,false,3,0.05,0.122,0.122,2304.3,1117,1119,0
AquaCultureRd_TON_12.03.25_LS,TON,37,0,false,1,0.02,0.0671,0.0671,2144.6,1167,1167,0
AquaCultureRd_TON_12.03.25_LS,TON,39,0,false,3,0.05,0.2388,0.2388,2145.6,1175,1177,0
AquaCultureRd_TON_12.03.25_LS,TON,42,0,false,1,0.02,0.0562,0.0562,425.6,1295,1295,0
AquaCultureRd_TON_12.03.25_LS,TON,47,0,false,2,0.33,0.0961,0.0961,440.2,1390,1409,0
AquaCultureRd_TON_12.03.25_LS,TON,52,0,false,1,0.02,0.0804,0.0804,317.3,2002,2002,0
AquaCultureRd_TON_12.03.25_LS,TON,54,0,false,1,0.02,0.0591,0.0591,401.4,2204,2204,0
AquaCultureRd_TON_12.03.25_LS,TON,59,0,false,1,0.02,0.133,0.133,347.4,2433,2433,0
AquaCultureRd_TON_12.03.25_LS,TON,66,0,false,13,0.42,0.2815,0.495,482.8,2781,2805,0
AquaCultureRd_TON_12.03.25_LS,TON,96,0,false,1,0.02,0.076,0.076,6259.2,2837,2837,0
AquaCultureRd_TON_12.03.25_LS,TON,107,0,false,1,0.02,0.1069,0.1069,443.7,2847,2847,0
AquaCultureRd_TON_12.03.25_LS,TON,127,0,false,1,0.02,0.4811,0.4811,722.0,2973,2973,0
AquaCultureRd_TON_12.03.25_LS,TON,130,0,false,22,0.53,0.2904,0.4598,433.7,2976,3007,0
AquaCultureRd_TON_12.03.25_LS,TON,132,0,false,3,0.12,0.188,0.188,563.4,2977,2983,0
AquaCultureRd_TON_12.03.25_LS,TON,147,0,false,3,0.05,0.1434,0.1434,495.8,3031,3033,0
AquaCultureRd_TON_12.03.25_LS,TON,150,0,false,5,0.08,0.2213,0.2213,334.2,3036,3040,0
AquaCultureRd_TON_12.03.25_LS,TON,151,0,false,3,0.05,0.087,0.087,2258.6,3082,3084,0
