n,video,file,deer,path,source
1,NShelbyRd(blue)_SHB_12.11.2025_LS,f8544_6deer.jpg,6,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/NShelbyRd(blue)_SHB_12.11.2025_LS/f8544_6deer.jpg,count_frames_final
2,GolfDr_SHB_12.11.2025,f3652_5deer.jpg,5,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/GolfDr_SHB_12.11.2025/f3652_5deer.jpg,count_frames_final
3,NShelbyRd(blue)_SHB_12.11.2025_LS,f8494_5deer.jpg,5,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/NShelbyRd(blue)_SHB_12.11.2025_LS/f8494_5deer.jpg,count_frames_final
4,NShelbyRd(blue)_SHB_12.11.2025_LS,f8512_5deer.jpg,5,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/NShelbyRd(blue)_SHB_12.11.2025_LS/f8512_5deer.jpg,qual_candidates
5,NShelbyRd(blue)_SHB_12.11.2025_LS,f8514_5deer.jpg,5,/work/hdd/bgte/tislam6/wildlife_outputs/viz/qual_candidates/NShelbyRd(blue)_SHB_12.11.2025_LS/f8514_5deer.jpg,qual_candidates
6,NShelbyRd(blue)_SHB_12.11.2025_LS,f8538_5deer.jpg,5,/work/hdd/bgte/tislam6/wildlife_outputs/viz/qual_candidates/NShelbyRd(blue)_SHB_12.11.2025_LS/f8538_5deer.jpg,qual_candidates
7,GolfDr_SHB_12.11.2025,f3650_4deer.jpg,4,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/GolfDr_SHB_12.11.2025/f3650_4deer.jpg,count_frames_final
8,GolfDr_SHB_12.11.2025,f3672_4deer.jpg,4,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/GolfDr_SHB_12.11.2025/f3672_4deer.jpg,count_frames_ids
9,NShelbyRd(blue)_SHB_12.11.2025_LS,showcase_f8506_4deer.jpg,4,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames_final/NShelbyRd(blue)_SHB_12.11.2025_LS/showcase_f8506_4deer.jpg,count_frames_final
10,NWolfCreek(orange)_SHB_12.11.2025_LS,f7257_4deer.jpg,4,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/NWolfCreek(orange)_SHB_12.11.2025_LS/f7257_4deer.jpg,count_frames_final
11,NWolfCreek(orange)_SHB_12.11.2025_LS,f7271_4deer.jpg,4,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/NWolfCreek(orange)_SHB_12.11.2025_LS/f7271_4deer.jpg,count_frames_final
12,Robinson_SHW_01.18.2026_LS,f14865_4deer.jpg,4,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/Robinson_SHW_01.18.2026_LS/f14865_4deer.jpg,count_frames_final
13,Robinson_SHW_01.18.2026_LS,f14938_4deer.jpg,4,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/Robinson_SHW_01.18.2026_LS/f14938_4deer.jpg,count_frames_final
14,AquaCultureRd_TON_12.03.25_LS,f1074_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/AquaCultureRd_TON_12.03.25_LS/f1074_3deer.jpg,count_frames_final
15,ChipsRd_TON_12.03.25_LS,f8651_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/ChipsRd_TON_12.03.25_LS/f8651_3deer.jpg,count_frames_final
16,GolfDr_SHB_12.11.2025,f3396_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/qual_candidates/GolfDr_SHB_12.11.2025/f3396_3deer.jpg,qual_candidates
17,GolfDr_SHB_12.11.2025,f3580_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/qual_candidates/GolfDr_SHB_12.11.2025/f3580_3deer.jpg,qual_candidates
18,GolfDr_SHB_12.11.2025,f3617_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/qual_candidates/GolfDr_SHB_12.11.2025/f3617_3deer.jpg,qual_candidates
19,NWolfCreek(orange)_SHB_12.11.2025_LS,f7254_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/NWolfCreek(orange)_SHB_12.11.2025_LS/f7254_3deer.jpg,count_frames_ids
20,OikosRd_TON_12.03.25_LS,f14923_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/OikosRd_TON_12.03.25_LS/f14923_3deer.jpg,count_frames_ids
21,OikosRd_TON_12.03.25_LS,f4947_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/OikosRd_TON_12.03.25_LS/f4947_3deer.jpg,count_frames_final
22,OikosRd_TON_12.03.25_LS,f4954_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/count_frames/OikosRd_TON_12.03.25_LS/f4954_3deer.jpg,count_frames_final
23,Robinson_SHW_01.18.2026_LS,f14846_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/qual_candidates/Robinson_SHW_01.18.2026_LS/f14846_3deer.jpg,qual_candidates
24,Robinson_SHW_01.18.2026_LS,f14892_3deer.jpg,3,/work/hdd/bgte/tislam6/wildlife_outputs/viz/qual_candidates/Robinson_SHW_01.18.2026_LS/f14892_3deer.jpg,qual_candidates
