video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
AquaCultureRd_TON_12.03.25_LS,TON,1270,6039,6176,100.73,103.02,26,2.3,0.2824,0.5046,748.5,1
AquaCultureRd_TON_12.03.25_LS,TON,1232,2778,2809,46.34,46.85,26,0.53,0.3125,0.4879,463.1,1
AquaCultureRd_TON_12.03.25_LS,TON,142,6679,6688,111.41,111.56,10,0.17,0.5476,0.6001,849.1,0
AquaCultureRd_TON_12.03.25_LS,TON,152,8061,8061,134.46,134.46,1,0.02,0.5227,0.5227,675.6,0
AquaCultureRd_TON_12.03.25_LS,TON,116,6425,6425,107.17,107.17,1,0.02,0.5219,0.5219,1786.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1285,6678,6678,111.39,111.39,1,0.02,0.513,0.513,594.6,0
AquaCultureRd_TON_12.03.25_LS,TON,49,2973,2973,49.59,49.59,1,0.02,0.4929,0.4929,719.9,0
AquaCultureRd_TON_12.03.25_LS,TON,141,6623,6623,110.47,110.47,1,0.02,0.4925,0.4925,704.4,0
AquaCultureRd_TON_12.03.25_LS,TON,54,2979,2990,49.69,49.87,8,0.2,0.4076,0.4596,488.1,0
AquaCultureRd_TON_12.03.25_LS,TON,218,15374,15374,256.44,256.44,1,0.02,0.4547,0.4547,680.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1305,8811,8816,146.97,147.05,5,0.1,0.4467,0.4467,738.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1282,6611,6622,110.27,110.46,12,0.2,0.3003,0.4209,449.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1296,8114,8114,135.34,135.34,1,0.02,0.3922,0.3922,438.0,0
AquaCultureRd_TON_12.03.25_LS,TON,181,9631,9644,160.65,160.86,6,0.23,0.3624,0.3869,2975.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1280,6585,6592,109.84,109.95,7,0.13,0.3382,0.3841,495.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1234,2797,2798,46.65,46.67,2,0.03,0.3807,0.3807,475.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1241,2970,2978,49.54,49.67,8,0.15,0.3222,0.3707,558.7,0
AquaCultureRd_TON_12.03.25_LS,TON,69,3037,3037,50.66,50.66,1,0.02,0.3634,0.3634,340.8,0
AquaCultureRd_TON_12.03.25_LS,TON,15,1177,1177,19.63,19.63,1,0.02,0.3615,0.3615,2092.2,0
AquaCultureRd_TON_12.03.25_LS,TON,61,2998,2998,50.01,50.01,1,0.02,0.3438,0.3438,412.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1252,4351,4351,72.57,72.57,1,0.02,0.3391,0.3391,1438.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1242,2991,3007,49.89,50.16,13,0.28,0.2285,0.3317,370.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1257,4997,4999,83.35,83.38,3,0.05,0.3264,0.3264,3053.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1300,8637,8637,144.07,144.07,1,0.02,0.313,0.313,620.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1267,5874,5875,97.98,98.0,2,0.03,0.3061,0.3061,774.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1223,1073,1074,17.9,17.91,2,0.03,0.3002,0.3002,410.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1244,3029,3039,50.52,50.69,10,0.18,0.239,0.2994,420.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1346,15738,15739,262.51,262.53,2,0.03,0.2937,0.2937,1973.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1247,3133,3135,52.26,52.29,2,0.05,0.2907,0.2907,398.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1253,4385,4385,73.14,73.14,1,0.02,0.2838,0.2838,2610.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1343,15367,15389,256.32,256.69,11,0.38,0.1933,0.2715,897.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1351,16230,16230,270.72,270.72,1,0.02,0.2665,0.2665,618.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1297,8119,8119,135.43,135.43,1,0.02,0.264,0.264,515.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1331,13714,13714,228.75,228.75,1,0.02,0.2536,0.2536,1392.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1278,6574,6574,109.65,109.65,1,0.02,0.2518,0.2518,565.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1219,908,908,15.15,15.15,1,0.02,0.2512,0.2512,1374.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1322,10980,10980,183.15,183.15,1,0.02,0.2478,0.2478,693.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1315,9624,9659,160.53,161.11,19,0.6,0.1667,0.2435,2967.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1307,9129,9135,152.27,152.37,4,0.12,0.2428,0.2428,1956.6,0
