grid,m,c,k,fit_MAE,heldout_MAE,heldout_bias,heldout_pred,heldout_counted
m_x_c,1,0.0,5,244.421,163.692,163.692,2211,100.0
m_x_c,1,0.15,5,176.947,113.769,113.769,1562,100.0
m_x_c,1,0.25,5,97.789,62.231,62.231,892,100.0
m_x_c,1,0.3,5,72.947,47.308,47.308,698,100.0
m_x_c,1,0.35,5,54.526,35.231,35.231,541,100.0
m_x_c,1,0.45,5,28.842,17.385,17.385,309,100.0
m_x_c,1,0.55,5,14.579,7.769,7.308,178,96.4
m_x_c,1,0.65,5,5.053,2.538,-0.231,80,78.3
m_x_c,1,0.75,5,4.158,4.308,-4.308,27,32.5
m_x_c,1,0.85,5,7.895,6.385,-6.385,0,0.0
m_x_c,2,0.0,5,128.579,83.538,83.538,1169,100.0
m_x_c,2,0.15,5,111.737,70.769,70.769,1003,100.0
m_x_c,2,0.25,5,66.421,40.923,40.923,615,100.0
m_x_c,2,0.3,5,49.158,30.308,30.308,477,100.0
m_x_c,2,0.35,5,36.0,22.308,22.308,373,100.0
m_x_c,2,0.45,5,19.579,10.385,10.385,218,100.0
m_x_c,2,0.55,5,10.053,5.154,4.538,142,95.2
m_x_c,2,0.65,5,4.053,2.308,-0.923,71,74.7
m_x_c,2,0.75,5,4.211,4.462,-4.462,25,30.1
m_x_c,2,0.85,5,7.895,6.385,-6.385,0,0.0
m_x_c,3,0.0,5,85.895,55.154,55.154,800,100.0
m_x_c,3,0.15,5,79.421,50.308,50.308,737,100.0
m_x_c,3,0.25,5,51.0,30.385,30.385,478,100.0
m_x_c,3,0.3,5,39.053,22.923,22.923,381,100.0
m_x_c,3,0.35,5,29.368,17.231,17.231,307,100.0
m_x_c,3,0.45,5,17.105,8.231,8.231,190,100.0
m_x_c,3,0.55,5,8.947,3.923,3.308,126,95.2
m_x_c,3,0.65,5,3.895,2.308,-1.077,69,73.5
m_x_c,3,0.75,5,4.211,4.462,-4.462,25,30.1
m_x_c,3,0.85,5,7.895,6.385,-6.385,0,0.0
m_x_c,5,0.0,5,51.895,31.077,31.077,487,100.0
m_x_c,5,0.15,5,50.158,30.0,30.0,473,100.0
m_x_c,5,0.25,5,36.526,21.0,21.0,356,100.0
m_x_c,5,0.3,5,28.947,16.0,16.0,291,100.0
m_x_c,5,0.35,5,22.211,12.692,12.538,246,98.8
m_x_c,5,0.45,5,14.053,6.846,6.692,170,98.8
m_x_c,5,0.55,5,7.947,3.615,2.846,120,94.0
m_x_c,5,0.65,5,3.842,2.308,-1.077,69,73.5
m_x_c,5,0.75,5,4.211,4.462,-4.462,25,30.1
m_x_c,5,0.85,5,7.895,6.385,-6.385,0,0.0
m_x_c,8,0.0,5,29.368,16.154,16.154,293,100.0
m_x_c,8,0.15,5,29.105,16.077,16.077,292,100.0
m_x_c,8,0.25,5,24.842,13.615,13.615,260,100.0
m_x_c,8,0.3,5,20.474,10.923,10.923,225,100.0
m_x_c,8,0.35,5,16.158,8.615,8.462,193,98.8
m_x_c,8,0.45,5,10.632,5.0,4.538,142,96.4
m_x_c,8,0.55,5,7.053,3.231,2.0,109,90.4
m_x_c,8,0.65,5,3.526,2.385,-1.154,68,72.3
m_x_c,8,0.75,5,4.211,4.462,-4.462,25,30.1
m_x_c,8,0.85,5,7.895,6.385,-6.385,0,0.0
m_x_c,12,0.0,5,18.158,9.692,9.231,203,96.4
