video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17459,17509,291.06,291.89,51,0.85,0.7589,0.7862,8650.2,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,77,16458,16458,274.37,274.37,1,0.02,0.5445,0.5445,1239.0,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,8,1715,1723,28.59,28.72,4,0.15,0.3996,0.3996,790.1,0
GiantCityRd_TON_12.03.25_LS,TON,210,8303,8374,138.62,139.81,58,1.2,0.5726,0.7239,835.1,1
GiantCityRd_TON_12.03.25_LS,TON,178,3672,3731,61.31,62.29,37,1.0,0.5569,0.6875,612.4,1
GiantCityRd_TON_12.03.25_LS,TON,109,433,476,7.23,7.95,43,0.73,0.445,0.646,289.7,1
GiantCityRd_TON_12.03.25_LS,TON,185,3754,3790,62.68,63.28,37,0.62,0.4959,0.6436,644.5,1
GiantCityRd_TON_12.03.25_LS,TON,179,3683,3714,61.49,62.01,24,0.53,0.382,0.5009,442.7,1
GiantCityRd_TON_12.03.25_LS,TON,167,1996,1996,33.32,33.32,1,0.02,0.6723,0.6723,943.5,0
GiantCityRd_TON_12.03.25_LS,TON,256,10210,10219,170.46,170.61,8,0.17,0.5309,0.6051,1821.4,0
GiantCityRd_TON_12.03.25_LS,TON,138,1507,1507,25.16,25.16,1,0.02,0.5853,0.5853,1621.4,0
GiantCityRd_TON_12.03.25_LS,TON,168,2001,2003,33.41,33.44,3,0.05,0.5298,0.5298,1135.3,0
GiantCityRd_TON_12.03.25_LS,TON,257,10217,10226,170.58,170.73,5,0.17,0.5026,0.5026,1603.6,0
GiantCityRd_TON_12.03.25_LS,TON,213,8362,8362,139.61,139.61,1,0.02,0.4797,0.4797,1144.4,0
GiantCityRd_TON_12.03.25_LS,TON,261,11816,11828,197.28,197.48,3,0.22,0.4697,0.4697,2003.5,0
GiantCityRd_TON_12.03.25_LS,TON,128,557,558,9.3,9.32,2,0.03,0.4495,0.4495,691.3,0
GiantCityRd_TON_12.03.25_LS,TON,111,444,452,7.41,7.55,9,0.15,0.3276,0.4299,5593.8,0
GiantCityRd_TON_12.03.25_LS,TON,192,3878,3881,64.75,64.8,2,0.07,0.4072,0.4072,5239.6,0
GiantCityRd_TON_12.03.25_LS,TON,113,471,471,7.86,7.86,1,0.02,0.4018,0.4018,412.3,0
GiantCityRd_TON_12.03.25_LS,TON,187,3795,3803,63.36,63.49,7,0.15,0.2936,0.3632,476.3,0
GiantCityRd_TON_12.03.25_LS,TON,121,550,551,9.18,9.2,2,0.03,0.3495,0.3495,4901.0,0
GiantCityRd_TON_12.03.25_LS,TON,201,4197,4198,70.07,70.09,2,0.03,0.3385,0.3385,1048.3,0
GiantCityRd_TON_12.03.25_LS,TON,188,3795,3797,63.36,63.39,3,0.05,0.3089,0.3089,363.5,0
N25thRdBlue_MAS_12.22.25_LS_V1,MAS,278,6756,6825,112.6,113.75,68,1.17,0.3915,0.6483,450.9,1
N25thRdBlue_MAS_12.22.25_LS_V1,MAS,275,4073,4082,67.88,68.03,10,0.17,0.3999,0.4782,923.9,0
N25thRdBlue_MAS_12.22.25_LS_V1,MAS,284,7242,7251,120.7,120.85,5,0.17,0.3205,0.3205,560.9,0
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,357,10044,10091,167.4,168.18,45,0.8,0.7174,0.8207,2394.1,1
