video,site,track_id,frame,t_s,xc,yc,w,h,conf,confirmed
EMarseilles_MAS_12.22.25_LS_V1,MAS,8,1715,28.59,539.6,11.4,35.4,22.8,0.5426,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,8,1716,28.61,530.2,13.2,42.9,25.8,0.3288,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,8,1722,28.71,485.0,8.6,36.8,17.1,0.5603,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,8,1723,28.72,476.5,7.6,40.7,15.1,0.1665,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17459,291.06,609.7,187.2,52.3,68.7,0.6634,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17460,291.08,597.4,188.7,66.6,72.3,0.6623,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17461,291.09,589.9,194.2,76.5,81.0,0.7781,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17462,291.11,583.1,196.0,85.7,87.8,0.7734,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17463,291.13,570.8,193.7,88.7,87.7,0.7905,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17464,291.14,561.3,194.0,91.2,89.1,0.7535,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17465,291.16,553.6,194.0,92.2,92.8,0.7549,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17466,291.18,537.9,194.5,92.0,96.0,0.7173,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17467,291.19,528.4,193.6,91.8,97.3,0.7719,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17468,291.21,517.5,194.5,90.8,95.3,0.7764,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17469,291.23,506.6,194.3,90.0,98.0,0.7659,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17470,291.24,495.6,194.0,88.5,96.1,0.787,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17471,291.26,483.5,194.3,92.6,101.6,0.7568,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17472,291.28,476.6,195.7,94.1,107.7,0.7609,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17473,291.29,460.6,200.2,94.4,106.9,0.7704,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17474,291.31,447.5,197.7,92.9,107.5,0.7738,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17475,291.33,434.7,198.3,92.3,106.2,0.7748,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17476,291.34,424.7,198.2,92.8,105.7,0.7633,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17477,291.36,411.8,198.8,96.1,106.1,0.7603,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17478,291.38,399.7,199.1,94.8,104.5,0.769,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17479,291.39,387.5,198.3,93.0,102.5,0.7693,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17480,291.41,375.8,197.4,89.9,99.0,0.7909,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17481,291.43,364.2,197.5,89.5,97.4,0.7716,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17482,291.44,352.3,201.7,87.1,97.1,0.7779,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17483,291.46,338.9,202.6,88.8,97.2,0.7615,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17484,291.48,328.8,202.2,90.0,99.9,0.7589,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17485,291.49,315.8,203.4,89.5,102.1,0.7802,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17486,291.51,303.1,205.9,90.4,101.9,0.78,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17487,291.53,296.3,208.3,79.1,99.0,0.7508,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17488,291.54,281.1,208.7,83.1,95.8,0.7805,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17489,291.56,268.0,209.8,83.7,97.6,0.7818,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17490,291.58,251.9,211.9,85.8,97.3,0.7673,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17491,291.59,242.2,213.8,88.6,101.9,0.7413,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17492,291.61,229.7,214.1,87.6,102.5,0.7586,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17493,291.63,214.4,214.6,90.1,101.6,0.7488,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17494,291.64,202.2,216.3,90.0,101.8,0.7636,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17495,291.66,184.7,216.5,91.2,102.3,0.7754,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17496,291.68,170.2,217.7,93.9,102.9,0.773,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17497,291.69,157.5,217.3,93.4,102.9,0.776,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17498,291.71,143.0,218.7,93.1,101.5,0.7594,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17499,291.73,130.5,219.5,94.2,104.2,0.7379,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17500,291.74,115.0,221.4,90.4,103.4,0.7392,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17501,291.76,103.4,221.7,90.4,103.6,0.7331,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,84,17502,291.78,90.7,222.5,92.2,107.4,0.7531,1
