video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
AquaCultureRd_TON_12.03.25_LS,TON,17,2979,3012,49.69,50.24,24,0.57,0.5213,0.6825,905.8,1
AquaCultureRd_TON_12.03.25_LS,TON,180,17019,17019,283.88,283.88,1,0.02,0.6428,0.6428,1745.3,0
AquaCultureRd_TON_12.03.25_LS,TON,159,15559,15560,259.52,259.54,2,0.03,0.6047,0.6047,441.3,0
AquaCultureRd_TON_12.03.25_LS,TON,33,6056,6056,101.01,101.01,1,0.02,0.5743,0.5743,548.0,0
AquaCultureRd_TON_12.03.25_LS,TON,168,16143,16143,269.27,269.27,1,0.02,0.5731,0.5731,619.9,0
AquaCultureRd_TON_12.03.25_LS,TON,92,8772,8776,146.32,146.38,3,0.08,0.5577,0.5577,1079.7,0
AquaCultureRd_TON_12.03.25_LS,TON,126,13361,13362,222.86,222.88,2,0.03,0.5471,0.5471,198.0,0
AquaCultureRd_TON_12.03.25_LS,TON,88,8706,8717,145.22,145.4,7,0.2,0.5036,0.5387,1124.5,0
AquaCultureRd_TON_12.03.25_LS,TON,127,13385,13391,223.26,223.36,6,0.12,0.5017,0.5333,438.2,0
AquaCultureRd_TON_12.03.25_LS,TON,135,14164,14164,236.26,236.26,1,0.02,0.5256,0.5256,484.7,0
AquaCultureRd_TON_12.03.25_LS,TON,202,18940,18943,315.92,315.97,4,0.07,0.4878,0.4878,205.6,0
AquaCultureRd_TON_12.03.25_LS,TON,177,16975,16975,283.14,283.14,1,0.02,0.4865,0.4865,999.7,0
AquaCultureRd_TON_12.03.25_LS,TON,9,1177,1177,19.63,19.63,1,0.02,0.4844,0.4844,1779.7,0
AquaCultureRd_TON_12.03.25_LS,TON,67,6685,6688,111.51,111.56,4,0.07,0.4807,0.4807,655.0,0
AquaCultureRd_TON_12.03.25_LS,TON,108,10074,10077,168.03,168.08,4,0.07,0.4757,0.4757,594.7,0
AquaCultureRd_TON_12.03.25_LS,TON,187,17037,17039,284.18,284.21,2,0.05,0.4639,0.4639,1742.7,0
AquaCultureRd_TON_12.03.25_LS,TON,112,10282,10282,171.5,171.5,1,0.02,0.4609,0.4609,342.2,0
AquaCultureRd_TON_12.03.25_LS,TON,189,17281,17290,288.25,288.4,6,0.17,0.4304,0.452,868.2,0
AquaCultureRd_TON_12.03.25_LS,TON,191,17317,17320,288.85,288.9,4,0.07,0.4512,0.4512,1227.2,0
AquaCultureRd_TON_12.03.25_LS,TON,20,3155,3155,52.63,52.63,1,0.02,0.4057,0.4057,1397.2,0
AquaCultureRd_TON_12.03.25_LS,TON,140,14368,14374,239.66,239.76,4,0.12,0.3923,0.3923,1685.7,0
AquaCultureRd_TON_12.03.25_LS,TON,8,1163,1163,19.4,19.4,1,0.02,0.3838,0.3838,1870.0,0
AquaCultureRd_TON_12.03.25_LS,TON,117,11900,11901,198.49,198.51,2,0.03,0.3784,0.3784,521.0,0
AquaCultureRd_TON_12.03.25_LS,TON,205,19533,19533,325.81,325.81,1,0.02,0.3778,0.3778,590.1,0
AquaCultureRd_TON_12.03.25_LS,TON,123,12111,12113,202.01,202.05,2,0.05,0.375,0.375,274.5,0
AquaCultureRd_TON_12.03.25_LS,TON,103,9481,9481,158.14,158.14,1,0.02,0.3442,0.3442,412.0,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,807,15317,15439,255.32,257.35,120,2.05,0.8247,0.9234,1615.9,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,803,15279,15382,254.68,256.4,104,1.73,0.8459,0.9202,1621.7,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,933,19228,19315,320.51,321.96,88,1.47,0.8298,0.892,3971.5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,349,8514,8563,141.92,142.73,50,0.83,0.7894,0.8675,2399.9,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,798,15190,15275,253.2,254.62,86,1.43,0.8172,0.8673,3754.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,823,15601,15705,260.05,261.78,101,1.75,0.722,0.8642,607.8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,346,8499,8553,141.67,142.57,54,0.92,0.7474,0.8579,2531.6,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,795,15148,15236,252.5,253.97,87,1.48,0.8043,0.8576,1892.3,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,934,19296,19353,321.64,322.59,56,0.97,0.7682,0.8519,3955.0,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,356,8542,8570,142.38,142.85,27,0.48,0.7676,0.8504,3254.1,1
