video,site,track_id,frame,t_s,xc,yc,w,h,conf,confirmed
AquaCultureRd_TON_12.03.25_LS,TON,17,2979,49.69,548.5,426.4,27.1,22.6,0.4967,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2980,49.71,537.8,422.7,27.1,25.0,0.4722,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2981,49.72,528.8,419.5,26.3,22.8,0.7088,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2984,49.77,501.8,416.4,28.3,23.3,0.5462,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2985,49.79,492.5,420.3,29.7,23.6,0.6696,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2986,49.81,482.5,413.7,31.8,24.7,0.5038,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2992,49.91,426.7,407.0,42.9,25.8,0.3801,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2993,49.92,418.0,407.6,43.2,26.0,0.4802,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2994,49.94,407.8,406.6,39.8,25.9,0.5728,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2995,49.96,398.0,404.1,39.9,26.3,0.3181,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2996,49.97,388.4,402.8,42.5,25.7,0.2599,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2997,49.99,380.1,403.2,44.8,24.8,0.5414,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2998,50.01,369.3,401.4,43.4,24.5,0.5933,1
AquaCultureRd_TON_12.03.25_LS,TON,17,2999,50.02,359.1,400.4,42.0,24.8,0.7058,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3000,50.04,349.8,400.2,39.9,22.8,0.7028,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3001,50.06,338.8,398.6,35.2,24.3,0.5017,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3002,50.07,329.4,397.1,37.0,24.9,0.405,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3003,50.09,320.2,398.8,39.5,24.0,0.553,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3004,50.11,311.1,397.5,38.2,24.7,0.6253,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3005,50.12,304.5,395.3,41.3,23.5,0.6158,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3006,50.14,295.3,397.0,39.4,22.4,0.5834,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3010,50.21,256.4,392.6,31.8,25.1,0.3426,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3011,50.22,247.9,391.3,34.5,25.8,0.5258,1
AquaCultureRd_TON_12.03.25_LS,TON,17,3012,50.24,239.0,393.6,37.6,25.3,0.4063,1
AquaCultureRd_TON_12.03.25_LS,TON,67,6685,111.51,540.7,307.5,30.2,20.5,0.5167,0
AquaCultureRd_TON_12.03.25_LS,TON,67,6686,111.52,531.5,308.0,30.2,21.6,0.4817,0
AquaCultureRd_TON_12.03.25_LS,TON,67,6687,111.54,524.5,307.7,29.6,21.2,0.5773,0
AquaCultureRd_TON_12.03.25_LS,TON,67,6688,111.56,519.2,307.1,32.2,22.4,0.3469,0
AquaCultureRd_TON_12.03.25_LS,TON,88,8706,145.22,374.5,282.6,34.7,30.3,0.522,0
AquaCultureRd_TON_12.03.25_LS,TON,88,8707,145.23,369.0,282.3,34.8,32.4,0.4786,0
AquaCultureRd_TON_12.03.25_LS,TON,88,8708,145.25,363.9,279.4,32.8,30.4,0.6105,0
AquaCultureRd_TON_12.03.25_LS,TON,88,8709,145.27,358.2,279.6,33.4,32.4,0.5774,0
AquaCultureRd_TON_12.03.25_LS,TON,88,8710,145.28,352.9,279.0,32.4,31.7,0.5052,0
AquaCultureRd_TON_12.03.25_LS,TON,88,8713,145.33,339.1,277.9,37.2,35.9,0.4334,0
AquaCultureRd_TON_12.03.25_LS,TON,88,8717,145.4,318.9,279.1,36.3,34.6,0.398,0
AquaCultureRd_TON_12.03.25_LS,TON,92,8772,146.32,47.0,256.5,33.7,32.2,0.4455,0
AquaCultureRd_TON_12.03.25_LS,TON,92,8775,146.37,29.0,257.9,33.6,32.1,0.559,0
AquaCultureRd_TON_12.03.25_LS,TON,92,8776,146.38,23.2,257.8,33.2,32.4,0.6685,0
AquaCultureRd_TON_12.03.25_LS,TON,108,10074,168.03,15.6,370.6,30.9,20.7,0.4701,0
AquaCultureRd_TON_12.03.25_LS,TON,108,10075,168.05,16.6,368.8,32.7,18.8,0.5372,0
AquaCultureRd_TON_12.03.25_LS,TON,108,10076,168.07,15.5,364.7,30.5,18.6,0.3454,0
AquaCultureRd_TON_12.03.25_LS,TON,108,10077,168.08,16.2,363.2,31.8,17.5,0.55,0
AquaCultureRd_TON_12.03.25_LS,TON,127,13385,223.26,578.2,219.7,24.6,17.0,0.5538,0
AquaCultureRd_TON_12.03.25_LS,TON,127,13386,223.28,577.7,219.4,24.2,16.8,0.6707,0
AquaCultureRd_TON_12.03.25_LS,TON,127,13388,223.31,571.7,221.5,24.5,17.7,0.5098,0
AquaCultureRd_TON_12.03.25_LS,TON,127,13389,223.33,570.4,221.4,24.8,17.9,0.456,0
AquaCultureRd_TON_12.03.25_LS,TON,127,13390,223.35,569.3,221.0,25.3,18.1,0.4762,0
AquaCultureRd_TON_12.03.25_LS,TON,127,13391,223.36,567.0,222.0,26.3,17.8,0.344,0
