site,video,visit,count,count_high,count_mid,candidate_tracks
SHB,EagleCreekDrEtc_SHB_12.11.2025_LS,,27,0,23,76
SHB,GolfDr_SHB_12.11.2025,,22,0,19,42
SHB,NShelbyRd(blue)_SHB_12.11.2025_LS,,26,0,26,51
SHB,NShelbyRd(green)_SHB_12.11.2025,,1,0,0,8
SHB,NShelbyRd(pink)_SHB_12.11.2025_LS,,0,0,0,2
SHB,NWolfCreek(blue)_SHB_12.11.2025,,23,0,22,91
SHB,NWolfCreek(orange)_SHB_12.11.2025_LS,,3,0,3,12
SHB,OverlookDr_SHB_12.11.2025_LS,,1,0,1,7
SHB,RedFoxLn_SHB_12.11.2025_LS,,57,0,37,171
SHB,WolfCreekRd_SHB_12.11.2025_LS,,2,0,1,16
SHW,PleasantHick_SHW_01.18.2026_LS,,2,0,1,17
SHW,Robinson_SHW_01.18.2026_LS,,7,0,7,21
SHW,SIron_SHW_01.18.2026_LS,,0,0,0,7
SHW,WhoopieCatDam_SHW_01.18.2026_LS,,2,0,2,4
SHW,HogThief_SHW_01.18.2026_LS,,5,0,2,22
SHW,LowerRichland_SHW_01.18.2026_LS,,1,0,0,2
SHW,SHog_SHW_01.18.2026_LS,,5,0,4,21
SHW,UpperRichland_SHW_01.18.2026_LS,,0,0,0,2
SHW,Melvin_SHW_01.18.2026_LS,,3,0,1,21
SHW,NBassett_SHW_01.18.2026_LS,,3,0,1,6
SHW,NIron_SHW_01.18.2026_LS,,10,0,10,23
SHW,SBassett_SHW_01.18.2026_LS,,24,0,21,73
TON,AquaCultureRd_TON_12.03.25_LS,,0,0,0,5
TON,ChipsRd_TON_12.03.25_LS,,0,0,0,9
TON,FernRidgeRd_TON_12.03.25_LS,,25,0,20,109
TON,GiantCityRd_TON_12.03.25_LS,,4,0,1,16
TON,NatureTrail_TON_12.03.25_LS,,1,0,1,5
TON,OikosRd_TON_12.03.25_LS,,2,0,2,9
TON,TouchofNatureRd_TON_12.03.25_LS,,1,0,1,6
TON,Upper40_TON_12.03.25_LS,,4,0,2,7
MAS,EMarseilles_MAS_12.22.25_LS,visit1,0,0,0,2
MAS,N2379Rd_MAS_12.22.25_LS,visit1,1,0,0,8
MAS,N25thRdBlue_MAS_12.22.25_LS,visit1,0,0,0,0
MAS,N25thRdOrange_MAS_12.22.25_LS,visit1,0,0,0,1
MAS,NMarseillesRd_MAS_12.22.25_LS,visit1,1,0,1,2
MAS,WMarseilles_MAS_12.22.25_LS,visit1,0,0,0,4
MAS,EMarseilles_MAS_12.22.25_LS,visit2,0,0,0,2
MAS,N2379Rd_MAS_12.22.25_LS,visit2,1,0,1,6
MAS,N25thBlue_MAS_12.22.25_LS,visit2,0,0,0,0
MAS,N25thRdOrange_MAS_12.22.25_LS,visit2,0,0,0,1
MAS,NMarseilles_MAS_12.22.25_LS,visit2,0,0,0,0
MAS,WMarseilles_MAS_12.22.25_LS,visit2,3,0,3,18
