video,gt,counted,expected_count,count_sd,mean_confidence,pct_conf_ge_80
AquaCultureRd_TON_12.03.25_LS,3,0,0.0,0.0,0.0,0.0
ChipsRd_TON_12.03.25_LS,1,0,0.0,0.0,0.0,0.0
EMarseilles_MAS_12.22.25_LS_V1,1,1,1.0,0.0,1.0,100.0
EMarseilles_MAS_12.22.25_LS_V2,0,0,0.0,0.0,0.0,0.0
EagleCreekDrEtc_SHB_12.11.2025_LS,44,46,46.0,0.0,1.0,100.0
FernRidgeRd_TON_12.03.25_LS,19,19,18.33,0.76,0.965,100.0
GiantCityRd_TON_12.03.25_LS,8,1,0.86,0.35,0.857,100.0
GolfDr_SHB_12.11.2025,12,13,12.67,0.52,0.975,100.0
Melvin_SHW_01.18.2026_LS,5,2,1.75,0.43,0.875,50.0
N25thBlue_MAS_12.22.25_LS_V2,3,2,1.94,0.24,0.969,100.0
N25thRdBlue_MAS_12.22.25_LS_V1,0,0,0.0,0.0,0.0,0.0
N25thRdOrange_MAS_12.22.25_LS_V1,1,1,0.94,0.24,0.938,100.0
N25thRdOrange_MAS_12.22.25_LS_V2,0,0,0.0,0.0,0.0,0.0
NIron_SHW_01.18.2026_LS,4,12,11.33,0.75,0.944,100.0
NMarseillesRd_MAS_12.22.25_LS_V1,7,5,5.0,0.0,1.0,100.0
NMarseilles_MAS_12.22.25_LS_V2,3,1,0.94,0.24,0.938,100.0
NShelbyRd(blue)_SHB_12.11.2025_LS,27,19,19.0,0.0,1.0,100.0
NShelbyRd(green)_SHB_12.11.2025,2,2,2.0,0.0,1.0,100.0
NShelbyRd(pink)_SHB_12.11.2025_LS,4,5,5.0,0.0,1.0,100.0
NWolfCreek(blue)_SHB_12.11.2025,30,32,30.5,1.06,0.953,81.2
NWolfCreek(orange)_SHB_12.11.2025_LS,9,4,3.81,0.42,0.953,100.0
NatureTrail_TON_12.03.25_LS,15,4,3.75,0.43,0.938,75.0
OikosRd_TON_12.03.25_LS,2,1,0.83,0.37,0.833,100.0
Robinson_SHW_01.18.2026_LS,7,6,5.34,0.69,0.889,66.7
SBassett_SHW_01.18.2026_LS,11,13,11.67,0.94,0.897,69.2
SHog_SHW_01.18.2026_LS,9,5,4.75,0.43,0.95,80.0
SIron_SHW_01.18.2026_LS,1,3,2.75,0.43,0.917,66.7
TouchofNatureRd_TON_12.03.25_LS,2,0,0.0,0.0,0.0,0.0
Upper40_TON_12.03.25_LS,1,0,0.0,0.0,0.0,0.0
UpperRichland_SHW_01.18.2026_LS,0,1,0.94,0.24,0.938,100.0
WhoopieCatDam_SHW_01.18.2026_LS,1,2,1.88,0.34,0.938,100.0
WolfCreekRd_SHB_12.11.2025_LS,4,3,3.0,0.0,1.0,100.0
