video,gt,counted,expected_count,count_sd,mean_confidence,pct_conf_ge_80
AquaCultureRd_TON_12.03.25_LS,3,0,0.0,0.0,0.0,0.0
ChipsRd_TON_12.03.25_LS,1,0,0.0,0.0,0.0,0.0
EMarseilles_MAS_12.22.25_LS_V1,1,2,1.03,0.62,0.514,0.0
EMarseilles_MAS_12.22.25_LS_V2,0,0,0.0,0.0,0.0,0.0
EagleCreekDrEtc_SHB_12.11.2025_LS,44,46,30.86,2.92,0.671,23.9
FernRidgeRd_TON_12.03.25_LS,19,22,13.34,1.98,0.606,27.3
GiantCityRd_TON_12.03.25_LS,8,3,0.83,0.78,0.278,0.0
GolfDr_SHB_12.11.2025,12,11,8.75,1.11,0.795,63.6
Melvin_SHW_01.18.2026_LS,5,2,0.8,0.69,0.4,0.0
N25thBlue_MAS_12.22.25_LS_V2,3,2,1.38,0.64,0.688,0.0
N25thRdBlue_MAS_12.22.25_LS_V1,0,0,0.0,0.0,0.0,0.0
N25thRdOrange_MAS_12.22.25_LS_V1,1,1,0.6,0.49,0.6,0.0
N25thRdOrange_MAS_12.22.25_LS_V2,0,0,0.0,0.0,0.0,0.0
NIron_SHW_01.18.2026_LS,4,5,3.06,1.01,0.611,40.0
NMarseillesRd_MAS_12.22.25_LS_V1,7,5,3.57,1.01,0.714,0.0
NMarseilles_MAS_12.22.25_LS_V2,3,1,0.5,0.5,0.5,0.0
NShelbyRd(blue)_SHB_12.11.2025_LS,27,19,13.38,1.78,0.704,31.6
NShelbyRd(green)_SHB_12.11.2025,2,1,0.58,0.49,0.579,0.0
NShelbyRd(pink)_SHB_12.11.2025_LS,4,5,3.78,0.8,0.756,40.0
NWolfCreek(blue)_SHB_12.11.2025,30,29,17.73,2.35,0.611,37.9
NWolfCreek(orange)_SHB_12.11.2025_LS,9,4,2.95,0.86,0.738,50.0
NatureTrail_TON_12.03.25_LS,15,8,3.63,1.28,0.454,0.0
OikosRd_TON_12.03.25_LS,2,0,0.0,0.0,0.0,0.0
Robinson_SHW_01.18.2026_LS,7,4,3.43,0.62,0.858,75.0
SBassett_SHW_01.18.2026_LS,11,11,6.32,1.51,0.575,0.0
SHog_SHW_01.18.2026_LS,9,5,3.59,0.87,0.718,60.0
SIron_SHW_01.18.2026_LS,1,2,0.89,0.7,0.444,0.0
TouchofNatureRd_TON_12.03.25_LS,2,0,0.0,0.0,0.0,0.0
Upper40_TON_12.03.25_LS,1,1,0.33,0.47,0.333,0.0
UpperRichland_SHW_01.18.2026_LS,0,1,0.5,0.5,0.5,0.0
WhoopieCatDam_SHW_01.18.2026_LS,1,2,1.74,0.48,0.869,100.0
WolfCreekRd_SHB_12.11.2025_LS,4,3,1.47,0.84,0.489,0.0
