video,gt,cluster_pred,rule_pred
AquaCultureRd_TON_12.03.25_LS,3,1,0
ChipsRd_TON_12.03.25_LS,1,1,1
EMarseilles_MAS_12.22.25_LS_V1,1,2,2
EMarseilles_MAS_12.22.25_LS_V2,0,0,0
EagleCreekDrEtc_SHB_12.11.2025_LS,44,30,44
FernRidgeRd_TON_12.03.25_LS,19,30,21
GiantCityRd_TON_12.03.25_LS,8,7,3
GolfDr_SHB_12.11.2025,12,9,14
Melvin_SHW_01.18.2026_LS,5,6,1
N25thBlue_MAS_12.22.25_LS_V2,3,4,3
N25thRdBlue_MAS_12.22.25_LS_V1,0,0,0
N25thRdOrange_MAS_12.22.25_LS_V1,1,1,1
N25thRdOrange_MAS_12.22.25_LS_V2,0,1,0
NIron_SHW_01.18.2026_LS,4,12,12
NMarseillesRd_MAS_12.22.25_LS_V1,7,5,5
NMarseilles_MAS_12.22.25_LS_V2,3,2,1
NShelbyRd(blue)_SHB_12.11.2025_LS,27,5,20
NShelbyRd(green)_SHB_12.11.2025,2,4,2
NShelbyRd(pink)_SHB_12.11.2025_LS,4,7,5
NWolfCreek(blue)_SHB_12.11.2025,30,41,29
NWolfCreek(orange)_SHB_12.11.2025_LS,9,6,5
NatureTrail_TON_12.03.25_LS,15,9,7
OikosRd_TON_12.03.25_LS,2,1,1
Robinson_SHW_01.18.2026_LS,7,3,7
SBassett_SHW_01.18.2026_LS,11,13,11
SHog_SHW_01.18.2026_LS,9,5,5
SIron_SHW_01.18.2026_LS,1,6,2
TouchofNatureRd_TON_12.03.25_LS,2,1,0
Upper40_TON_12.03.25_LS,1,5,1
UpperRichland_SHW_01.18.2026_LS,0,1,1
WhoopieCatDam_SHW_01.18.2026_LS,1,2,2
WolfCreekRd_SHB_12.11.2025_LS,4,5,4
