video,gt,counted,expected_count,count_sd,mean_conf_accepted,pct_conf_ge_80,flagged_for_review
AquaCultureRd_TON_12.03.25_LS,3,0,1.6,1.12,0.0,0.0,0
ChipsRd_TON_12.03.25_LS,1,0,0.79,0.8,0.0,0.0,18
EMarseilles_MAS_12.22.25_LS_V1,1,1,0.96,0.7,0.677,0.0,10
EMarseilles_MAS_12.22.25_LS_V2,0,0,0.15,0.38,0.0,0.0,10
EagleCreekDrEtc_SHB_12.11.2025_LS,44,0,23.18,4.1,0.0,0.0,0
FernRidgeRd_TON_12.03.25_LS,19,25,26.22,3.78,0.611,8.0,10
GiantCityRd_TON_12.03.25_LS,8,3,2.29,1.05,0.618,0.0,10
GolfDr_SHB_12.11.2025,12,9,10.1,2.31,0.638,11.1,18
Melvin_SHW_01.18.2026_LS,5,2,3.13,1.55,0.438,0.0,0
N25thBlue_MAS_12.22.25_LS_V2,3,2,2.05,1.22,0.469,0.0,0
N25thRdBlue_MAS_12.22.25_LS_V1,0,0,0.43,0.63,0.0,0.0,17
N25thRdOrange_MAS_12.22.25_LS_V1,1,1,0.7,0.66,0.467,0.0,0
N25thRdOrange_MAS_12.22.25_LS_V2,0,0,0.75,0.75,0.0,0.0,0
NIron_SHW_01.18.2026_LS,4,12,14.45,2.93,0.598,8.3,18
NMarseillesRd_MAS_12.22.25_LS_V1,7,5,3.21,1.44,0.438,0.0,0
NMarseilles_MAS_12.22.25_LS_V2,3,0,0.73,0.71,0.0,0.0,4
NShelbyRd(blue)_SHB_12.11.2025_LS,27,0,8.48,2.47,0.0,0.0,0
NShelbyRd(green)_SHB_12.11.2025,2,0,2.14,1.24,0.0,0.0,0
NShelbyRd(pink)_SHB_12.11.2025_LS,4,8,5.72,1.76,0.52,0.0,0
NWolfCreek(blue)_SHB_12.11.2025,30,40,40.6,4.88,0.518,10.0,0
NWolfCreek(orange)_SHB_12.11.2025_LS,9,7,3.96,1.55,0.465,0.0,0
NatureTrail_TON_12.03.25_LS,15,13,9.11,2.32,0.493,0.0,0
OikosRd_TON_12.03.25_LS,2,0,1.29,1.04,0.0,0.0,18
Robinson_SHW_01.18.2026_LS,7,8,4.89,1.74,0.467,0.0,0
SBassett_SHW_01.18.2026_LS,11,15,16.38,2.62,0.682,33.3,17
SHog_SHW_01.18.2026_LS,9,8,6.35,1.47,0.65,37.5,0
SIron_SHW_01.18.2026_LS,1,7,8.31,1.76,0.753,57.1,0
TouchofNatureRd_TON_12.03.25_LS,2,1,1.65,1.15,0.5,0.0,17
Upper40_TON_12.03.25_LS,1,2,2.58,1.19,0.667,0.0,4
UpperRichland_SHW_01.18.2026_LS,0,0,0.51,0.69,0.0,0.0,4
WhoopieCatDam_SHW_01.18.2026_LS,1,1,0.96,0.69,0.667,0.0,4
WolfCreekRd_SHB_12.11.2025_LS,4,4,7.71,1.98,0.647,25.0,17
