video,key,site,split,track_idx,gt_frames,checked,best_iou,best_conf,hits_iou50,found_iou50,hits_iou30,found_iou30,hits_touch,found_touch,hits_center,found_center
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,0,83,30,0.553,0.439,1,1,7,1,8,1,8,1
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,1,256,63,0.457,0.381,0,0,7,1,8,1,8,1
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,2,146,50,0.354,0.292,0,0,1,1,1,1,1,1
ChipsRd_TON_12.03.25_LS,TON__ChipsRd_v1_LS,TON,test,0,169,60,0.775,0.603,9,1,10,1,11,1,10,1
EMarseilles_MAS_12.22.25_LS_V1,MAS__EMarseilles_v1_LS,MAS,train,0,44,19,0.812,0.767,19,1,19,1,19,1,19,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,0,111,40,0.916,0.877,29,1,34,1,35,1,35,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,1,106,39,0.917,0.87,25,1,29,1,31,1,29,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,2,18,6,0.628,0.441,3,1,6,1,6,1,6,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,3,18,8,0.893,0.782,6,1,6,1,7,1,7,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,4,29,11,0.742,0.674,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,5,22,8,0.738,0.615,5,1,5,1,5,1,5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,6,51,19,0.901,0.83,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,7,49,18,0.945,0.762,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,8,53,21,0.906,0.839,21,1,21,1,21,1,21,1
