video,key,site,split,track_idx,gt_frames,checked,best_iou,best_conf,hits_iou50,found_iou50,hits_iou30,found_iou30,hits_touch,found_touch,hits_center,found_center
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,0,83,30,0.697,0.556,5,1,16,1,18,1,18,1
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,1,256,63,0.545,0.5,3,1,9,1,10,1,10,1
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,2,146,50,0.434,0.295,0,0,2,1,3,1,2,1
ChipsRd_TON_12.03.25_LS,TON__ChipsRd_v1_LS,TON,test,0,169,60,0.743,0.618,9,1,16,1,27,1,19,1
EMarseilles_MAS_12.22.25_LS_V1,MAS__EMarseilles_v1_LS,MAS,train,0,44,19,0.495,0.619,0,0,15,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,0,111,40,0.85,0.957,30,1,32,1,35,1,34,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,1,106,39,0.856,0.959,26,1,28,1,30,1,28,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,2,18,6,0.504,0.552,1,1,4,1,5,1,5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,3,18,8,0.631,0.762,3,1,4,1,4,1,4,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,4,29,11,0.714,0.834,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,5,22,8,0.783,0.592,5,1,5,1,5,1,5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,6,51,19,0.866,0.905,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,7,49,18,0.866,0.905,17,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,8,53,21,0.869,0.917,21,1,21,1,21,1,21,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,9,49,18,0.851,0.939,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,10,50,21,0.851,0.939,18,1,20,1,21,1,21,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,11,30,11,0.799,0.874,8,1,9,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,12,47,19,0.818,0.686,7,1,8,1,9,1,9,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,13,29,11,0.818,0.686,7,1,8,1,9,1,9,1
