video,key,site,split,track_idx,gt_frames,checked,best_iou,best_conf,hits_iou50,found_iou50,hits_iou30,found_iou30,hits_touch,found_touch,hits_center,found_center
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,0,83,30,0.632,0.381,5,1,10,1,22,1,17,1
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,1,256,63,0.688,0.407,8,1,25,1,44,1,35,1
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,2,146,50,0.657,0.401,3,1,14,1,28,1,23,1
ChipsRd_TON_12.03.25_LS,TON__ChipsRd_v1_LS,TON,test,0,169,60,0.85,0.715,12,1,14,1,16,1,15,1
EMarseilles_MAS_12.22.25_LS_V1,MAS__EMarseilles_v1_LS,MAS,train,0,44,19,0.947,0.665,19,1,19,1,19,1,19,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,0,111,40,0.919,0.764,34,1,40,1,40,1,40,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,1,106,39,0.924,0.773,25,1,30,1,32,1,30,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,2,18,6,0.795,0.296,5,1,6,1,6,1,6,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,3,18,8,0.783,0.641,8,1,8,1,8,1,8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,4,29,11,0.796,0.558,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,5,22,8,0.679,0.416,2,1,5,1,5,1,5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,6,51,19,0.914,0.68,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,7,49,18,0.95,0.728,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,8,53,21,0.932,0.72,21,1,21,1,21,1,21,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,9,49,18,0.93,0.728,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,10,50,21,0.93,0.724,20,1,21,1,21,1,21,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,11,30,11,0.913,0.717,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,12,47,19,0.836,0.465,9,1,10,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,13,29,11,0.836,0.465,8,1,9,1,9,1,9,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,14,412,70,0.885,0.755,61,1,67,1,68,1,68,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,15,185,65,0.909,0.7,56,1,62,1,62,1,62,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,16,89,31,0.765,0.457,8,1,14,1,18,1,15,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,17,38,14,0.213,0.312,0,0,0,0,6,1,6,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,18,1,1,0.0,0.0,0,0,0,0,0,0,0,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,19,433,66,0.919,0.494,51,1,56,1,61,1,58,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,20,523,69,0.905,0.494,60,1,66,1,67,1,66,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,21,459,69,0.909,0.457,55,1,56,1,58,1,57,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,22,83,31,0.901,0.443,19,1,22,1,29,1,23,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,23,29,11,0.81,0.466,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,24,29,11,0.81,0.466,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,25,80,29,0.897,0.466,22,1,25,1,29,1,26,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,26,95,34,0.961,0.466,15,1,19,1,22,1,20,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,27,80,30,0.983,0.824,30,1,30,1,30,1,30,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,28,76,27,0.974,0.842,27,1,27,1,27,1,27,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,29,102,38,0.913,0.828,38,1,38,1,38,1,38,1
