video,key,site,split,track_idx,gt_frames,checked,best_iou,best_conf,hits_iou50,found_iou50,hits_iou30,found_iou30,hits_touch,found_touch,hits_center,found_center
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,0,83,30,0.661,0.304,4,1,11,1,11,1,11,1
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,1,256,63,0.74,0.535,3,1,11,1,11,1,11,1
AquaCultureRd_TON_12.03.25_LS,TON__AquaCultureRd_v1_LS,TON,test,2,146,50,0.409,0.282,0,0,1,1,2,1,2,1
ChipsRd_TON_12.03.25_LS,TON__ChipsRd_v1_LS,TON,test,0,169,60,0.778,0.771,21,1,26,1,26,1,26,1
EMarseilles_MAS_12.22.25_LS_V1,MAS__EMarseilles_v1_LS,MAS,train,0,44,19,0.957,0.791,19,1,19,1,19,1,19,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,0,111,40,0.938,0.813,40,1,40,1,40,1,40,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,1,106,39,0.947,0.81,32,1,32,1,34,1,32,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,2,18,6,0.768,0.404,5,1,5,1,5,1,5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,3,18,8,0.938,0.819,8,1,8,1,8,1,8,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,4,29,11,0.898,0.755,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,5,22,8,0.882,0.643,6,1,6,1,6,1,6,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,6,51,19,0.961,0.831,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,7,49,18,0.961,0.856,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,8,53,21,0.96,0.865,21,1,21,1,21,1,21,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,9,49,18,0.951,0.856,18,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,10,50,21,0.951,0.856,20,1,21,1,21,1,21,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,11,30,11,0.94,0.869,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,12,47,19,0.93,0.714,17,1,17,1,18,1,17,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,13,29,11,0.93,0.714,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,14,412,70,0.977,0.794,67,1,69,1,69,1,69,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,15,185,65,0.982,0.811,63,1,63,1,64,1,64,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,16,89,31,0.917,0.735,29,1,29,1,29,1,29,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,17,38,14,0.834,0.706,8,1,10,1,10,1,10,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,18,1,1,0.0,0.0,0,0,0,0,0,0,0,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,19,433,66,0.944,0.748,57,1,59,1,60,1,60,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,20,523,69,0.948,0.779,67,1,68,1,68,1,68,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,21,459,69,0.939,0.764,64,1,64,1,65,1,65,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,22,83,31,0.955,0.741,27,1,27,1,28,1,27,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,23,29,11,0.9,0.748,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,24,29,11,0.9,0.748,11,1,11,1,11,1,11,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,25,80,29,0.929,0.773,29,1,29,1,29,1,29,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,26,95,34,0.931,0.777,25,1,28,1,28,1,28,1
